"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年3月"
"集計期間終了月","2025年3月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","8","8","5","2","1","0","4","0","0","",""
"区南部","34","6","14","16","0","0","3","0","0","",""
"区西南部","5","1","4","5","0","0","4","0","0","",""
"区西部","22","1","1","10","0","0","7","0","0","",""
"区西北部","11","1","3","4","0","0","5","0","0","",""
"区東北部","0","0","0","0","0","0","0","0","0","",""
"区東部","15","3","3","7","0","0","1","0","0","",""
"西多摩","0","0","0","0","0","0","3","0","0","",""
"南多摩","0","0","0","0","0","0","2","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","6","1","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","95","20","30","44","1","0","35","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年3月"
"集計期間終了月","2025年3月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","0","7","7","7","2","0","2","0","0","",""
"区南部","42","2","0","6","0","0","3","0","0","",""
"区西南部","9","4","3","1","0","0","1","0","0","",""
"区西部","4","1","0","0","0","0","2","0","1","",""
"区西北部","3","0","0","2","0","0","1","0","0","",""
"区東北部","4","0","1","0","1","0","0","0","0","",""
"区東部","11","1","0","2","1","0","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","8","1","0","0","1","0","0","0","0","",""
"北多摩西部","11","1","0","0","0","0","1","0","0","",""
"北多摩南部","1","1","0","0","0","0","3","1","0","",""
"北多摩北部","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","93","18","11","18","5","0","17","1","1","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2025年3月"
"集計期間終了月","2025年3月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","8","15","12","9","3","0","6","0","0","10","4"
"区南部","76","8","14","22","0","0","6","0","0","3","1"
"区西南部","14","5","7","6","0","0","5","0","0","5","3"
"区西部","26","2","1","10","0","0","9","0","1","10","4"
"区西北部","14","1","3","6","0","0","6","0","0","6","2"
"区東北部","4","0","1","0","1","0","0","0","0","3","1"
"区東部","26","4","3","9","1","0","3","0","0","6","1"
"西多摩","0","0","0","0","0","0","3","0","0","0","1"
"南多摩","8","1","0","0","1","0","2","0","0","5","1"
"北多摩西部","11","1","0","0","0","0","1","0","0","2","1"
"北多摩南部","1","1","0","0","0","0","9","2","0","3","3"
"北多摩北部","0","0","0","0","0","0","2","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","188","38","41","62","6","0","52","2","1","54","25"


