"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年22週
"集計期間終了週",2025年22週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","55","47","102","419"
"新型コロナウイルス感染症（COVID-19）","154","197","351","419"
"急性呼吸器感染症（ARI）","11636","11821","23457","419"
"RSウイルス感染症","24","18","42","264"
"咽頭結膜熱","71","71","142","264"
"Ａ群溶血性レンサ球菌咽頭炎","607","474","1081","264"
"感染性胃腸炎","924","805","1729","264"
"水痘","140","141","281","264"
"手足口病","18","13","31","264"
"伝染性紅斑","94","103","197","264"
"突発性発しん","60","38","98","264"
"ヘルパンギーナ","7","12","19","264"
"流行性耳下腺炎","14","12","26","264"
"不明発しん症","10","10","20","264"
"川崎病","5","1","6","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","9","10","19","39"
"細菌性髄膜炎","0","2","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","4","3","7","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","2","0","2","25"
"インフルエンザ入院","2","3","5","25"
"COVID-19入院","14","13","27","25"
