"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年30週
"集計期間終了週",2025年30週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","93","93","186","419"
"新型コロナウイルス感染症（COVID-19）","649","793","1442","419"
"急性呼吸器感染症（ARI）","10483","10253","20736","419"
"RSウイルス感染症","77","60","137","264"
"咽頭結膜熱","48","42","90","264"
"Ａ群溶血性レンサ球菌咽頭炎","259","194","453","264"
"感染性胃腸炎","683","604","1287","264"
"水痘","84","76","160","264"
"手足口病","87","74","161","264"
"伝染性紅斑","46","46","92","264"
"突発性発しん","51","53","104","264"
"ヘルパンギーナ","203","171","374","264"
"流行性耳下腺炎","11","8","19","264"
"不明発しん症","20","15","35","264"
"川崎病","3","1","4","264"
"急性出血性結膜炎","0","3","3","39"
"流行性角結膜炎","10","10","20","39"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","5","4","9","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","2","0","2","25"
"COVID-19入院","55","41","96","25"
