"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年13週
"集計期間終了週",2025年13週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","387","411","798","418"
"新型コロナウイルス感染症（COVID-19）","382","423","805","418"
"RSウイルス感染症","67","58","125","263"
"咽頭結膜熱","14","11","25","263"
"Ａ群溶血性レンサ球菌咽頭炎","354","235","589","263"
"感染性胃腸炎","1071","999","2070","263"
"水痘","73","79","152","263"
"手足口病","9","5","14","263"
"伝染性紅斑","116","98","214","263"
"突発性発しん","23","33","56","263"
"ヘルパンギーナ","1","1","2","263"
"流行性耳下腺炎","8","11","19","263"
"不明発しん症","7","5","12","263"
"川崎病","3","1","4","263"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","9","9","18","39"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","2","4","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","10","2","12","25"
"インフルエンザ入院","1","2","3","25"
"COVID-19入院","33","37","70","25"
