"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年15週
"集計期間終了週",2025年15週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","281","238","519","418"
"新型コロナウイルス感染症（COVID-19）","240","262","502","418"
"急性呼吸器感染症（ARI）","9341","9031","18372","418"
"RSウイルス感染症","68","68","136","264"
"咽頭結膜熱","26","18","44","264"
"Ａ群溶血性レンサ球菌咽頭炎","365","307","672","264"
"感染性胃腸炎","1044","1013","2057","264"
"水痘","68","46","114","264"
"手足口病","9","10","19","264"
"伝染性紅斑","103","91","194","264"
"突発性発しん","48","40","88","264"
"ヘルパンギーナ","2","3","5","264"
"流行性耳下腺炎","15","10","25","264"
"不明発しん症","3","5","8","264"
"川崎病","4","2","6","264"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","5","11","16","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","1","3","25"
"クラミジア肺炎(オウム病は除く)","1","1","2","25"
"感染性胃腸炎（ロタウイルス）","1","2","3","25"
"インフルエンザ入院","0","2","2","25"
"COVID-19入院","23","27","50","25"
