"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年29週
"集計期間終了週",2025年29週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","48","48","96","417"
"新型コロナウイルス感染症（COVID-19）","486","649","1135","417"
"急性呼吸器感染症（ARI）","11355","11403","22758","417"
"RSウイルス感染症","50","41","91","264"
"咽頭結膜熱","62","56","118","264"
"Ａ群溶血性レンサ球菌咽頭炎","381","271","652","264"
"感染性胃腸炎","904","749","1653","264"
"水痘","86","69","155","264"
"手足口病","81","75","156","264"
"伝染性紅斑","55","65","120","264"
"突発性発しん","45","32","77","264"
"ヘルパンギーナ","164","151","315","264"
"流行性耳下腺炎","14","7","21","264"
"不明発しん症","23","18","41","264"
"川崎病","1","2","3","264"
"急性出血性結膜炎","0","3","3","39"
"流行性角結膜炎","3","13","16","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","2","2","4","25"
"マイコプラズマ肺炎","5","9","14","25"
"クラミジア肺炎(オウム病は除く)","2","1","3","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
"COVID-19入院","36","20","56","25"
