"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年35週
"集計期間終了週",2025年35週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","47","52","99","417"
"新型コロナウイルス感染症（COVID-19）","844","1086","1930","417"
"急性呼吸器感染症（ARI）","9498","9273","18771","417"
"RSウイルス感染症","168","149","317","263"
"咽頭結膜熱","32","38","70","263"
"Ａ群溶血性レンサ球菌咽頭炎","229","175","404","263"
"感染性胃腸炎","634","492","1126","263"
"水痘","44","23","67","263"
"手足口病","81","69","150","263"
"伝染性紅斑","44","39","83","263"
"突発性発しん","34","33","67","263"
"ヘルパンギーナ","196","201","397","263"
"流行性耳下腺炎","12","6","18","263"
"不明発しん症","22","13","35","263"
"川崎病","3","1","4","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","19","15","34","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","4","5","9","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","1","0","1","25"
"インフルエンザ入院","1","3","4","25"
"COVID-19入院","58","32","90","25"
