"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年25週
"集計期間終了週",2025年25週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","37","23","60","418"
"新型コロナウイルス感染症（COVID-19）","162","189","351","418"
"急性呼吸器感染症（ARI）","11197","11136","22333","418"
"RSウイルス感染症","18","19","37","263"
"咽頭結膜熱","71","48","119","263"
"Ａ群溶血性レンサ球菌咽頭炎","476","374","850","263"
"感染性胃腸炎","935","743","1678","263"
"水痘","95","81","176","263"
"手足口病","40","41","81","263"
"伝染性紅斑","92","105","197","263"
"突発性発しん","46","49","95","263"
"ヘルパンギーナ","41","26","67","263"
"流行性耳下腺炎","20","10","30","263"
"不明発しん症","9","15","24","263"
"川崎病","7","3","10","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","11","8","19","39"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","5","4","9","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","1","1","25"
"インフルエンザ入院","2","2","4","25"
"COVID-19入院","18","15","33","25"
