"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2007年18週
"集計期間終了週",2007年18週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","97","87","184","279"
"RSウイルス感染症","2","6","8","145"
"咽頭結膜熱","28","12","40","145"
"Ａ群溶血性レンサ球菌咽頭炎","107","89","196","145"
"感染性胃腸炎","235","206","441","145"
"水痘","71","84","155","145"
"手足口病","5","9","14","145"
"伝染性紅斑","23","38","61","145"
"突発性発しん","19","26","45","145"
"百日咳","0","0","0","145"
"風しん","0","1","1","145"
"ヘルパンギーナ","11","9","20","145"
"麻しん（成人麻しん以外）","9","5","14","145"
"流行性耳下腺炎","11","13","24","145"
"不明発しん症","7","4","11","145"
"川崎病","2","0","2","145"
"急性出血性結膜炎","0","1","1","38"
"流行性角結膜炎","3","5","8","38"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","1","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","13","8","21","25"
