"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2016年4週"
"集計期間終了週","2016年4週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","12","13","0","0","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"～1歳","53","20","1","1","64","1","1","0","12","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","166","32","7","15","163","2","3","3","29","0","0","2","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","3","0"
"2歳","225","6","6","23","121","5","2","4","4","0","0","4","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"3歳","271","2","6","39","110","10","2","1","6","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","385","1","3","58","108","19","0","13","0","0","0","6","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"5歳","476","1","1","71","88","9","3","7","0","0","0","9","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"6歳","448","0","3","55","81","9","0","7","0","0","0","13","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","1","1"
"7歳","495","0","1","50","53","9","0","8","0","0","0","12","0","0","0","0","0","0","1","0","0","4","1","1","0","0","1","2","1"
"8歳","468","0","0","52","52","3","1","7","0","0","0","6","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","1","0"
"9歳","409","0","1","38","54","4","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1"
"10～14歳","743","0","1","56","154","3","0","5","0","0","0","14","1","0","0","0","0","0","1","0","0","4","1","1","0","0","0","3","0"
"15～19歳","203","0","0","1","45","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","202","0","1","10","118","0","0","2","0","1","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30～39歳","314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","376","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","4","0","0","0","0","0","4","0"
"60～69歳","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","1","0","1","0","0","1","1"
"70～79歳","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","3","0"
"80歳以上","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","0"
"合計","5522","75","31","469","1218","78","13","59","53","1","0","83","6","2","0","12","0","0","6","0","0","32","5","2","4","1","1","24","5"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2016年4週"
"集計期間終了週","2016年4週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","7","7","0","1","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","47","12","0","1","47","2","0","0","13","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1"
"1歳","157","15","3","11","148","9","2","0","29","0","0","2","1","2","0","1","0","0","0","0","0","2","0","0","0","0","0","2","0"
"2歳","172","12","0","9","110","3","0","2","7","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","219","4","4","22","94","8","2","6","1","0","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","354","2","3","53","83","8","1","13","0","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"5歳","387","0","1","48","65","7","0","6","1","0","0","11","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","391","0","2","48","55","6","1","5","0","0","0","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","500","0","0","51","48","3","0","4","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"8歳","389","0","1","47","50","7","0","3","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","1"
"9歳","338","0","0","26","43","8","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","693","0","0","41","104","1","0","3","0","1","0","8","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"15～19歳","151","0","0","2","35","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","202","0","3","32","201","1","0","3","0","0","0","2","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0"
"30～39歳","490","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","1","0","0","0","0","0","1","0"
"40～49歳","448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","4","0","0","0","0","0","4","0"
"合計","5260","52","17","392","1089","63","6","51","51","1","0","59","8","3","0","15","1","0","7","1","0","13","1","0","2","0","1","11","2"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2016年4週"
"集計期間終了週","2016年4週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","19","20","0","1","13","3","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"～1歳","100","32","1","2","111","3","1","0","25","0","0","0","2","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0","1"
"1歳","323","47","10","26","311","11","5","3","58","0","0","4","1","2","0","2","0","0","0","0","0","5","0","0","0","0","0","5","0"
"2歳","397","18","6","32","231","8","2","6","11","0","0","9","2","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0"
"3歳","490","6","10","61","204","18","4","7","7","0","0","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","739","3","6","111","191","27","1","26","0","0","0","9","1","1","0","0","0","0","1","0","0","2","0","0","0","0","0","2","0"
"5歳","863","1","2","119","153","16","3","13","1","0","0","20","1","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1"
"6歳","839","0","5","103","136","15","1","12","0","0","0","23","0","0","0","0","0","0","1","0","0","2","1","0","1","0","0","1","1"
"7歳","995","0","1","101","101","12","0","12","0","0","0","18","0","0","0","0","0","0","1","0","0","5","1","1","0","0","1","3","1"
"8歳","857","0","1","99","102","10","1","10","0","0","0","12","0","0","0","0","0","0","2","0","0","3","1","0","1","0","1","1","1"
"9歳","747","0","1","64","97","12","0","8","0","0","0","8","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1"
"10～14歳","1436","0","1","97","258","4","0","8","0","1","0","22","1","0","0","0","0","0","4","0","0","4","1","1","0","0","0","3","0"
"15～19歳","354","0","0","3","80","1","1","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","404","0","4","42","319","1","0","5","0","1","0","5","0","0","0","4","0","0","0","1","0","1","0","0","0","0","0","1","0"
"30～39歳","804","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","1","0","0","0","0","0","1","0"
"40～49歳","824","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","329","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","4","0","0","0","0","0","4","0"
"60～69歳","172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","1","0","1","0","0","1","1"
"70～79歳","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","4","0","0","0","0","0","4","0"
"80歳以上","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","7","0","0","0","0","0","7","0"
"合計","10782","127","48","861","2307","141","19","110","104","2","0","142","14","5","0","27","1","0","13","1","0","45","6","2","6","1","2","35","7"
"定点数","415","261","261","261","261","261","261","261","261","261","261","261","261","261","39","39","25","25","25","25","25","25","25","25","25","25","25","25","25"


