"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2008年21週
"集計期間終了週",2008年21週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","13","23","36","288"
"RSウイルス感染症","2","2","4","149"
"咽頭結膜熱","39","32","71","149"
"Ａ群溶血性レンサ球菌咽頭炎","253","180","433","149"
"感染性胃腸炎","596","479","1075","149"
"水痘","99","99","198","149"
"手足口病","14","10","24","149"
"伝染性紅斑","12","22","34","149"
"突発性発しん","51","57","108","149"
"百日咳","5","4","9","149"
"ヘルパンギーナ","21","12","33","149"
"流行性耳下腺炎","35","28","63","149"
"不明発しん症","5","4","9","149"
"川崎病","3","2","5","149"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","14","12","26","38"
"細菌性髄膜炎","1","0","1","24"
"無菌性髄膜炎","0","0","0","24"
"マイコプラズマ肺炎","2","1","3","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
