"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2005年47週
"集計期間終了週",2005年47週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","15","18","33","178"
"RSウイルス感染症","22","27","49","142"
"咽頭結膜熱","29","27","56","142"
"Ａ群溶血性レンサ球菌咽頭炎","108","114","222","142"
"感染性胃腸炎","647","564","1211","142"
"水痘","73","63","136","142"
"手足口病","24","15","39","142"
"伝染性紅斑","12","26","38","142"
"突発性発しん","39","46","85","142"
"百日咳","1","0","1","142"
"風しん","0","1","1","142"
"ヘルパンギーナ","8","7","15","142"
"麻しん（成人麻しん以外）","0","0","0","142"
"流行性耳下腺炎","96","83","179","142"
"不明発しん症","6","4","10","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","3","0","3","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","4","2","6","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
