"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2025年2月"
"集計期間終了月","2025年2月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","1","0","3","0","0","0","1","0","0","",""
"中央区","2","4","0","0","0","0","0","0","0","",""
"みなと","2","3","12","0","0","0","1","0","0","",""
"新宿区","8","4","0","3","0","0","5","1","0","",""
"文京","1","1","1","1","0","0","1","0","0","",""
"台東","0","1","0","0","0","0","0","0","0","",""
"墨田区","6","1","0","3","0","0","2","0","0","",""
"江東区","5","0","3","2","0","0","0","0","0","",""
"品川区","30","7","8","8","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","0","1","0","0","",""
"世田谷","0","0","0","0","0","0","1","1","0","",""
"渋谷区","5","1","4","5","0","0","1","0","0","",""
"中野区","10","0","0","3","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","",""
"池袋","5","0","0","2","0","0","3","0","0","",""
"北区","2","0","1","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","1","0","0","0","0","0","1","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","1","0","",""
"江戸川","2","1","0","2","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","3","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","3","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","3","3","0","",""
"多摩小平","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","80","23","32","29","0","0","26","6","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2025年2月"
"集計期間終了月","2025年2月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","3","1","0","0","0","0","0","0","0","",""
"みなと","0","0","0","0","0","0","0","0","0","",""
"新宿区","3","0","0","2","1","0","5","1","0","",""
"文京","0","0","0","0","0","0","0","0","1","",""
"台東","12","1","3","8","2","0","0","0","0","",""
"墨田区","0","0","0","0","0","0","0","0","0","",""
"江東区","0","1","1","0","1","0","0","0","0","",""
"品川区","17","3","0","5","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","1","0","0","0","0","0","2","0","0","",""
"世田谷","0","0","0","0","0","0","3","0","0","",""
"渋谷区","8","5","2","2","0","0","0","0","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","1","1","0","0","0","0","0","0","0","",""
"池袋","2","1","0","0","0","0","1","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","2","0","0","0","0","0","0","0","0","",""
"板橋区","5","1","0","0","0","0","1","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","1","1","1","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","1","0","",""
"江戸川","12","0","0","1","0","0","0","0","0","",""
"八王子市","5","3","1","0","0","0","2","0","0","",""
"町田市","1","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","7","2","0","0","0","0","0","0","0","",""
"多摩府中","2","0","0","0","0","0","2","3","0","",""
"多摩小平","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","82","20","8","18","4","0","18","5","1","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2025年2月"
"集計期間終了月","2025年2月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","1","0","3","0","0","0","1","0","0","2","2"
"中央区","5","5","0","0","0","0","0","0","0","3","0"
"みなと","2","3","12","0","0","0","1","0","0","1","1"
"新宿区","11","4","0","5","1","0","10","2","0","6","2"
"文京","1","1","1","1","0","0","1","0","1","1","1"
"台東","12","2","3","8","2","0","0","0","0","2","0"
"墨田区","6","1","0","3","0","0","2","0","0","2","1"
"江東区","5","1","4","2","1","0","0","0","0","2","0"
"品川区","47","10","8","13","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","1","0","0","0","0","0","3","0","0","2","1"
"世田谷","0","0","0","0","0","0","4","1","0","0","2"
"渋谷区","13","6","6","7","0","0","1","0","0","5","1"
"中野区","10","0","0","3","0","0","0","0","0","2","0"
"杉並","1","1","0","0","0","0","0","0","0","2","2"
"池袋","7","1","0","2","0","0","4","0","0","3","1"
"北区","2","0","1","0","0","0","0","0","0","1","0"
"荒川区","2","0","0","0","0","0","0","0","0","1","0"
"板橋区","6","1","0","0","0","0","2","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","1","1","1","0","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","0","2","0","0","1"
"江戸川","14","1","0","3","0","0","0","0","0","2","0"
"八王子市","5","3","1","0","0","0","5","0","0","4","1"
"町田市","1","0","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","3","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","7","2","0","0","0","0","0","0","0","2","1"
"多摩府中","2","0","0","0","0","0","5","6","0","3","3"
"多摩小平","0","0","0","0","0","0","2","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","162","43","40","47","4","0","44","11","1","53","25"


