"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2021年22週
"集計期間終了週",2021年22週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","405"
"RSウイルス感染症","236","236","472","257"
"咽頭結膜熱","30","22","52","257"
"Ａ群溶血性レンサ球菌咽頭炎","53","53","106","257"
"感染性胃腸炎","574","527","1101","257"
"水痘","20","19","39","257"
"手足口病","6","12","18","257"
"伝染性紅斑","5","3","8","257"
"突発性発しん","84","56","140","257"
"ヘルパンギーナ","7","5","12","257"
"流行性耳下腺炎","9","6","15","257"
"不明発しん症","7","7","14","257"
"川崎病","2","1","3","257"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","3","3","6","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","1","1","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
