"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2012年30週
"集計期間終了週",2012年30週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","5","1","6","416"
"RSウイルス感染症","30","31","61","263"
"咽頭結膜熱","101","66","167","263"
"Ａ群溶血性レンサ球菌咽頭炎","185","203","388","263"
"感染性胃腸炎","553","499","1052","263"
"水痘","92","83","175","263"
"手足口病","165","168","333","263"
"伝染性紅斑","15","18","33","263"
"突発性発しん","108","97","205","263"
"百日咳","3","3","6","263"
"ヘルパンギーナ","1046","964","2010","263"
"流行性耳下腺炎","45","32","77","263"
"不明発しん症","29","22","51","263"
"川崎病","3","0","3","263"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","9","14","23","37"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","3","1","4","25"
"マイコプラズマ肺炎","11","11","22","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
