"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2009年36週
"集計期間終了週",2009年36週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","583","481","1064","290"
"RSウイルス感染症","15","12","27","150"
"咽頭結膜熱","5","4","9","150"
"Ａ群溶血性レンサ球菌咽頭炎","29","30","59","150"
"感染性胃腸炎","229","193","422","150"
"水痘","26","18","44","150"
"手足口病","102","74","176","150"
"伝染性紅斑","17","12","29","150"
"突発性発しん","36","52","88","150"
"百日咳","4","1","5","150"
"ヘルパンギーナ","99","70","169","150"
"流行性耳下腺炎","49","29","78","150"
"不明発しん症","12","9","21","150"
"川崎病","1","0","1","150"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","11","2","13","39"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","0","0","0","24"
"マイコプラズマ肺炎","0","0","0","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
