"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2014年20週
"集計期間終了週",2014年20週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","58","46","104","413"
"RSウイルス感染症","20","10","30","263"
"咽頭結膜熱","62","72","134","263"
"Ａ群溶血性レンサ球菌咽頭炎","442","386","828","263"
"感染性胃腸炎","1080","909","1989","263"
"水痘","144","148","292","263"
"手足口病","18","7","25","263"
"伝染性紅斑","54","43","97","263"
"突発性発しん","107","89","196","263"
"百日咳","1","4","5","263"
"ヘルパンギーナ","9","18","27","263"
"流行性耳下腺炎","28","21","49","263"
"不明発しん症","15","6","21","263"
"川崎病","0","0","0","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","15","10","25","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","1","3","25"
"クラミジア肺炎(オウム病は除く)","1","1","2","25"
"感染性胃腸炎（ロタウイルス）","7","1","8","25"
"インフルエンザ入院","1","0","1","25"
