"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2001年46週
"集計期間終了週",2001年46週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3","4","7","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","7","5","12","142"
"Ａ群溶血性レンサ球菌咽頭炎","46","44","90","142"
"感染性胃腸炎","379","330","709","142"
"水痘","57","52","109","142"
"手足口病","24","17","41","142"
"伝染性紅斑","6","12","18","142"
"突発性発しん","37","38","75","142"
"百日咳","1","0","1","142"
"風しん","0","0","0","142"
"ヘルパンギーナ","9","10","19","142"
"麻しん（成人麻しん以外）","0","2","2","142"
"流行性耳下腺炎","54","52","106","142"
"不明発しん症","6","4","10","142"
"川崎病","1","1","2","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","5","2","7","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","2","3","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
