"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年13週
"集計期間終了週",2019年13週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","172","173","345","414"
"RSウイルス感染症","33","24","57","260"
"咽頭結膜熱","19","24","43","260"
"Ａ群溶血性レンサ球菌咽頭炎","223","209","432","260"
"感染性胃腸炎","765","761","1526","260"
"水痘","65","53","118","260"
"手足口病","8","8","16","260"
"伝染性紅斑","56","59","115","260"
"突発性発しん","48","51","99","260"
"ヘルパンギーナ","1","3","4","260"
"流行性耳下腺炎","9","7","16","260"
"不明発しん症","8","8","16","260"
"川崎病","0","1","1","260"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","4","2","6","37"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","3","0","3","25"
"クラミジア肺炎(オウム病は除く)","1","1","2","25"
"感染性胃腸炎（ロタウイルス）","4","2","6","25"
"インフルエンザ入院","6","4","10","25"
