"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年2週
"集計期間終了週",2025年2週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","4542","4624","9166","418"
"新型コロナウイルス感染症（COVID-19）","746","815","1561","418"
"RSウイルス感染症","54","32","86","263"
"咽頭結膜熱","18","16","34","263"
"Ａ群溶血性レンサ球菌咽頭炎","232","177","409","263"
"感染性胃腸炎","810","705","1515","263"
"水痘","94","63","157","263"
"手足口病","21","14","35","263"
"伝染性紅斑","349","291","640","263"
"突発性発しん","34","24","58","263"
"ヘルパンギーナ","1","2","3","263"
"流行性耳下腺炎","5","5","10","263"
"不明発しん症","7","4","11","263"
"川崎病","4","3","7","263"
"急性出血性結膜炎","0","2","2","39"
"流行性角結膜炎","20","17","37","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","3","0","3","25"
"マイコプラズマ肺炎","12","14","26","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","106","94","200","25"
"COVID-19入院","77","47","124","25"
