"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2009年47週"
"集計期間終了週","2009年47週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","164","5","0","3","16","4","7","2","6","0","0","5","0","0","0","2","0","0","0","0","","","","","",""
"区南部","324","4","0","2","50","3","3","1","7","1","0","1","0","0","0","1","0","0","0","0","","","","","",""
"区西南部","254","2","0","1","17","4","0","0","2","0","0","2","1","0","0","1","0","0","0","0","","","","","",""
"区西部","294","1","0","8","44","5","1","1","2","0","0","2","2","0","0","0","0","0","0","0","","","","","",""
"区西北部","368","0","0","4","24","1","5","0","6","0","0","5","1","0","0","0","0","0","0","0","","","","","",""
"区東北部","276","0","0","2","15","0","7","1","3","0","3","6","0","0","1","0","0","0","0","0","","","","","",""
"区東部","439","3","0","6","15","5","3","1","7","0","0","4","0","0","0","1","0","0","0","0","","","","","",""
"西多摩","212","0","0","0","4","2","0","0","1","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","633","4","1","20","52","22","2","1","7","0","1","12","4","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","102","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","261","0","0","5","3","0","1","2","0","0","0","4","0","0","0","1","0","0","0","0","","","","","",""
"北多摩北部","250","3","5","3","25","2","0","0","5","0","2","1","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3583","22","6","54","269","50","30","9","46","1","6","47","8","0","1","7","0","0","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2009年47週"
"集計期間終了週","2009年47週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","165","5","5","6","13","2","1","2","3","0","0","2","0","0","0","1","0","0","0","0","","","","","",""
"区南部","329","4","1","6","37","7","1","1","8","1","1","1","0","0","0","2","0","0","0","0","","","","","",""
"区西南部","230","6","1","1","5","4","1","0","2","0","1","2","1","0","0","1","0","0","0","0","","","","","",""
"区西部","266","1","1","6","33","5","1","1","1","0","0","3","2","0","0","0","0","0","0","0","","","","","",""
"区西北部","321","0","0","4","21","2","2","0","2","0","0","2","1","0","0","3","0","0","0","0","","","","","",""
"区東北部","245","0","0","1","19","3","4","1","3","1","3","5","1","0","1","4","0","0","3","0","","","","","",""
"区東部","411","2","0","9","13","1","3","1","1","0","1","7","0","0","0","1","0","0","0","0","","","","","",""
"西多摩","174","0","0","0","7","1","1","0","1","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","598","3","1","21","34","27","1","2","5","0","2","3","4","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","102","0","0","0","7","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","257","0","0","1","2","0","1","2","2","0","0","3","1","0","0","2","0","0","0","0","","","","","",""
"北多摩北部","217","2","4","1","14","5","2","0","4","0","2","2","0","0","0","3","0","0","0","0","","","","","",""
"島しょ","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3322","23","13","56","205","59","19","10","32","3","10","34","10","0","1","17","0","0","3","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2009年47週"
"集計期間終了週","2009年47週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","329","5","5","9","29","6","8","2","9","0","0","7","0","0","0","3","0","0","0","0","25","17","2","3","4","0"
"区南部","653","4","1","8","87","10","4","1","15","1","1","2","0","0","0","3","0","0","0","0","26","15","3","1","1","0"
"区西南部","484","8","1","1","22","8","1","0","2","0","1","2","1","0","0","2","0","0","0","0","28","15","4","3","3","0"
"区西部","560","1","1","14","77","10","1","1","3","0","0","5","2","0","0","0","0","0","0","0","30","18","4","4","4","0"
"区西北部","689","0","0","4","45","3","7","0","8","0","0","7","1","0","0","3","0","0","0","0","40","20","6","2","2","0"
"区東北部","521","0","0","3","34","3","11","2","6","1","3","11","1","0","1","4","0","0","3","0","25","11","4","1","1","0"
"区東部","850","5","0","15","28","6","6","2","8","0","1","11","0","0","0","1","0","0","0","0","27","12","3","1","1","0"
"西多摩","386","0","0","0","11","3","1","0","2","0","0","9","0","0","0","0","0","0","0","0","9","5","1","1","1","0"
"南多摩","1231","7","2","41","86","49","3","3","12","0","3","15","8","0","0","0","0","0","0","0","28","12","4","1","1","0"
"北多摩西部","204","0","0","0","11","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","13","6","2","1","1","0"
"北多摩南部","518","0","0","6","5","0","1","2","2","0","0","7","1","0","0","3","0","0","0","0","21","10","3","2","3","0"
"北多摩北部","467","5","9","4","39","7","2","0","9","0","2","3","0","0","0","4","0","0","0","0","14","6","2","2","2","0"
"島しょ","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","6905","35","19","105","474","107","46","13","76","3","11","79","14","0","1","23","0","0","3","0","288","148","38","23","25","0"


