"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2004年52週
"集計期間終了週",2004年52週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","62","70","132","178"
"RSウイルス感染症","17","6","23","142"
"咽頭結膜熱","11","24","35","142"
"Ａ群溶血性レンサ球菌咽頭炎","70","51","121","142"
"感染性胃腸炎","1311","1267","2578","142"
"水痘","127","110","237","142"
"手足口病","45","33","78","142"
"伝染性紅斑","15","13","28","142"
"突発性発しん","31","37","68","142"
"百日咳","2","1","3","142"
"風しん","1","0","1","142"
"ヘルパンギーナ","6","1","7","142"
"麻しん（成人麻しん以外）","2","2","4","142"
"流行性耳下腺炎","75","56","131","142"
"不明発しん症","3","1","4","142"
"川崎病","3","1","4","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","8","3","11","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","2","2","4","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
