"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2011年11月"
"集計期間終了月","2011年11月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","4","3","0","0"
"1～4歳","0","0","0","0","0","0","10","13","0","0"
"5～9歳","0","0","0","0","0","0","7","2","1","0"
"10～14歳","0","0","0","0","0","0","4","1","0","0"
"15～19歳","2","0","1","5","1","0","0","0","0","0"
"20～24歳","18","2","4","8","0","0","0","0","0","0"
"25～29歳","19","7","6","21","1","1","0","0","0","0"
"30～34歳","17","12","9","20","1","6","1","1","0","0"
"35～39歳","17","9","14","13","2","4","1","1","0","0"
"40～44歳","13","8","5","6","1","2","2","0","0","0"
"45～49歳","8","11","5","12","1","1","2","0","0","0"
"50～54歳","6","7","5","3","0","0","2","1","0","0"
"55～59歳","3","3","1","2","0","0","3","0","0","0"
"60～64歳","2","0","0","1","0","0","5","2","0","0"
"65～69歳","0","2","1","0","0","0","4","3","0","0"
"70歳以上","0","2","0","0","1","0","23","10","0","0"
"合計","105","63","51","91","8","14","68","37","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2011年11月"
"集計期間終了月","2011年11月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","3","3","0","0"
"1～4歳","0","0","0","0","0","0","3","6","0","0"
"5～9歳","0","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0","0"
"15～19歳","11","4","5","2","0","0","0","0","0","0"
"20～24歳","13","6","8","6","8","0","0","0","0","0"
"25～29歳","24","5","5","6","2","0","0","0","0","0"
"30～34歳","11","5","2","2","1","0","1","0","0","0"
"35～39歳","4","5","5","0","0","0","1","0","0","0"
"40～44歳","3","2","0","0","1","0","1","1","0","0"
"45～49歳","4","3","2","2","1","0","1","0","0","0"
"50～54歳","1","2","0","0","2","0","0","0","0","0"
"55～59歳","1","0","0","0","1","0","2","1","0","0"
"60～64歳","0","0","0","0","0","0","2","1","0","0"
"65～69歳","0","0","0","0","0","1","4","1","0","0"
"70歳以上","1","0","0","1","0","0","7","4","2","0"
"合計","73","32","27","19","16","1","26","18","2","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2011年11月"
"集計期間終了月","2011年11月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","6","0","0"
"1～4歳","0","0","0","0","0","0","13","19","0","0"
"5～9歳","0","0","0","0","0","0","7","3","1","0"
"10～14歳","0","0","0","0","0","0","5","1","0","0"
"15～19歳","13","4","6","7","1","0","0","0","0","0"
"20～24歳","31","8","12","14","8","0","0","0","0","0"
"25～29歳","43","12","11","27","3","1","0","0","0","0"
"30～34歳","28","17","11","22","2","6","2","1","0","0"
"35～39歳","21","14","19","13","2","4","2","1","0","0"
"40～44歳","16","10","5","6","2","2","3","1","0","0"
"45～49歳","12","14","7","14","2","1","3","0","0","0"
"50～54歳","7","9","5","3","2","0","2","1","0","0"
"55～59歳","4","3","1","2","1","0","5","1","0","0"
"60～64歳","2","0","0","1","0","0","7","3","0","0"
"65～69歳","0","2","1","0","0","1","8","4","0","0"
"70歳以上","1","2","0","1","1","0","30","14","2","0"
"合計","178","95","78","110","24","15","94","55","3","0"
"定点数","55","55","55","55","55","55","25","25","25","25"


