"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2016年10月"
"集計期間終了月","2016年10月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","32","44","16","16","0","0","6","0","1","",""
"区南部","3","2","0","4","0","0","0","0","0","",""
"区西南部","36","19","25","46","0","0","4","0","0","",""
"区西部","26","12","38","27","0","0","7","0","0","",""
"区西北部","17","4","3","9","0","0","3","4","1","",""
"区東北部","1","0","0","1","0","0","2","0","0","",""
"区東部","18","7","4","8","0","0","1","3","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","2","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","11","3","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","133","88","86","111","0","0","36","10","2","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2016年10月"
"集計期間終了月","2016年10月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","23","5","3","16","3","0","3","0","0","",""
"区南部","4","0","0","0","0","0","0","0","0","",""
"区西南部","14","8","6","4","1","0","2","2","0","",""
"区西部","6","10","12","2","2","0","10","1","0","",""
"区西北部","17","7","3","1","1","0","2","3","0","",""
"区東北部","7","0","1","1","1","0","1","3","0","",""
"区東部","5","1","0","0","2","0","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","8","2","0","0","0","0","1","0","0","",""
"北多摩西部","16","0","0","1","0","0","1","0","0","",""
"北多摩南部","0","0","1","0","0","0","3","0","0","",""
"北多摩北部","0","0","1","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","100","33","27","25","10","0","24","9","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2016年10月"
"集計期間終了月","2016年10月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","55","49","19","32","3","0","9","0","1","10","4"
"区南部","7","2","0","4","0","0","0","0","0","3","1"
"区西南部","50","27","31","50","1","0","6","2","0","5","3"
"区西部","32","22","50","29","2","0","17","1","0","11","4"
"区西北部","34","11","6","10","1","0","5","7","1","6","2"
"区東北部","8","0","1","2","1","0","3","3","0","3","1"
"区東部","23","8","4","8","2","0","2","3","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","8","2","0","0","0","0","3","0","0","5","1"
"北多摩西部","16","0","0","1","0","0","1","0","0","2","1"
"北多摩南部","0","0","1","0","0","0","14","3","0","3","3"
"北多摩北部","0","0","1","0","0","0","0","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","233","121","113","136","10","0","60","19","2","55","25"


