"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2025年26週
"集計期間終了週",2025年26週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","42","42","84","418"
"新型コロナウイルス感染症（COVID-19）","251","278","529","418"
"急性呼吸器感染症（ARI）","10911","10892","21803","418"
"RSウイルス感染症","15","13","28","263"
"咽頭結膜熱","73","62","135","263"
"Ａ群溶血性レンサ球菌咽頭炎","476","401","877","263"
"感染性胃腸炎","876","698","1574","263"
"水痘","134","116","250","263"
"手足口病","55","60","115","263"
"伝染性紅斑","72","76","148","263"
"突発性発しん","48","43","91","263"
"ヘルパンギーナ","60","71","131","263"
"流行性耳下腺炎","15","15","30","263"
"不明発しん症","19","14","33","263"
"川崎病","2","1","3","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","11","7","18","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","1","3","25"
"マイコプラズマ肺炎","6","4","10","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","1","0","1","25"
"インフルエンザ入院","2","0","2","25"
"COVID-19入院","20","6","26","25"
