"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2012年2月"
"集計期間終了月","2012年2月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","11","2","4","10","0","2","3","1","1","0","",""
"中央区","9","3","2","3","0","0","0","0","0","0","",""
"みなと","3","28","5","6","0","0","3","0","0","0","",""
"新宿区","27","10","15","31","0","5","7","4","0","0","",""
"文京","3","2","1","1","0","0","2","0","0","0","",""
"台東","0","0","0","0","0","0","0","0","0","0","",""
"墨田区","4","2","0","0","0","0","6","1","0","0","",""
"江東区","8","6","5","5","0","0","0","0","0","0","",""
"品川区","2","4","2","2","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","4","0","0","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","3","0","0","0","",""
"渋谷区","7","1","2","0","0","2","0","0","0","0","",""
"中野区","4","1","0","6","0","1","0","1","0","0","",""
"杉並","2","1","0","2","0","0","0","0","0","0","",""
"池袋","9","5","4","5","0","0","2","3","0","0","",""
"北区","0","0","2","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","0","",""
"板橋区","0","0","0","1","0","0","4","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","1","1","0","1","0","1","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","4","2","0","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","1","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","0","",""
"多摩府中","1","0","0","1","0","0","8","7","0","0","",""
"多摩小平","0","0","0","0","0","0","1","1","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","95","66","42","74","0","11","45","20","1","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2012年2月"
"集計期間終了月","2012年2月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","1","0","0","0","0","0","1","0","0","0","",""
"中央区","2","1","0","0","1","0","0","0","0","0","",""
"みなと","7","3","4","0","1","1","3","0","0","0","",""
"新宿区","10","9","14","6","1","0","3","0","0","0","",""
"文京","0","0","0","0","0","0","1","0","0","0","",""
"台東","4","0","0","0","1","0","0","0","0","0","",""
"墨田区","3","1","0","0","0","0","2","2","0","0","",""
"江東区","0","1","0","1","0","0","0","0","0","0","",""
"品川区","0","0","0","1","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","8","0","1","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","2","0","0","0","",""
"渋谷区","8","8","2","0","0","0","0","0","0","0","",""
"中野区","1","0","1","1","1","1","0","0","0","0","",""
"杉並","0","0","0","0","0","0","0","0","0","0","",""
"池袋","6","7","1","1","0","0","4","1","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","0","",""
"荒川区","4","0","0","0","0","0","0","0","0","0","",""
"板橋区","3","1","1","1","0","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","1","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","0","0","0","",""
"江戸川","3","0","1","0","1","0","0","0","0","0","",""
"八王子市","3","0","1","0","1","0","0","0","0","0","",""
"町田市","2","0","1","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","8","3","0","2","1","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","2","8","0","0","",""
