"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2014年30週
"集計期間終了週",2014年30週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2","0","2","415"
"RSウイルス感染症","13","11","24","262"
"咽頭結膜熱","77","49","126","262"
"Ａ群溶血性レンサ球菌咽頭炎","187","141","328","262"
"感染性胃腸炎","534","463","997","262"
"水痘","74","66","140","262"
"手足口病","201","142","343","262"
"伝染性紅斑","43","55","98","262"
"突発性発しん","78","76","154","262"
"百日咳","4","4","8","262"
"ヘルパンギーナ","988","946","1934","262"
"流行性耳下腺炎","44","35","79","262"
"不明発しん症","19","8","27","262"
"川崎病","2","2","4","262"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","14","10","24","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","2","3","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","1","0","1","25"
"インフルエンザ入院","2","1","3","25"
