"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年11月"
"集計期間終了月","2012年11月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","1","0","0"
"1～4歳","0","0","0","0","0","0","2","6","0","0"
"5～9歳","0","0","0","0","0","0","1","1","0","0"
"10～14歳","0","0","0","0","0","0","2","0","0","0"
"15～19歳","1","1","0","2","0","0","0","1","0","0"
"20～24歳","13","8","3","10","0","0","0","1","0","0"
"25～29歳","19","11","6","13","0","0","0","0","0","0"
"30～34歳","16","12","9","10","0","0","0","0","0","0"
"35～39歳","24","8","11","19","0","0","0","0","0","0"
"40～44歳","11","17","9","10","0","0","1","0","0","0"
"45～49歳","8","8","5","6","1","0","1","0","0","0"
"50～54歳","6","2","5","4","0","0","3","1","0","0"
"55～59歳","3","2","0","1","0","0","2","0","0","0"
"60～64歳","1","1","5","2","1","0","5","1","0","0"
"65～69歳","1","3","0","0","0","0","2","2","0","0"
"70歳以上","0","1","3","2","0","0","29","4","2","0"
"合計","103","74","56","79","2","0","55","18","2","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年11月"
"集計期間終了月","2012年11月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","7","0","0","0"
"1～4歳","0","0","0","0","0","0","4","8","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0","0"
"10～14歳","1","0","0","0","0","0","0","0","0","0"
"15～19歳","14","2","3","1","0","0","4","0","0","0"
"20～24歳","19","8","11","8","1","1","1","0","0","0"
"25～29歳","11","14","10","5","4","1","0","0","0","0"
"30～34歳","8","7","4","2","1","0","1","0","0","0"
"35～39歳","9","4","1","0","0","1","2","0","0","0"
"40～44歳","2","3","0","1","1","0","0","0","0","0"
"45～49歳","1","3","0","0","1","0","0","0","0","0"
"50～54歳","0","0","1","0","0","0","2","0","0","0"
"55～59歳","0","2","0","0","1","0","4","0","1","0"
"60～64歳","0","2","0","0","1","0","2","0","0","0"
"65～69歳","0","1","0","0","0","0","1","0","0","0"
"70歳以上","0","2","0","0","0","0","15","2","0","0"
"合計","65","48","30","17","10","3","43","10","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2012年11月"
"集計期間終了月","2012年11月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","14","1","0","0"
"1～4歳","0","0","0","0","0","0","6","14","0","0"
"5～9歳","0","0","0","0","0","0","1","1","0","0"
"10～14歳","1","0","0","0","0","0","2","0","0","0"
"15～19歳","15","3","3","3","0","0","4","1","0","0"
"20～24歳","32","16","14","18","1","1","1","1","0","0"
"25～29歳","30","25","16","18","4","1","0","0","0","0"
"30～34歳","24","19","13","12","1","0","1","0","0","0"
"35～39歳","33","12","12","19","0","1","2","0","0","0"
"40～44歳","13","20","9","11","1","0","1","0","0","0"
"45～49歳","9","11","5","6","2","0","1","0","0","0"
"50～54歳","6","2","6","4","0","0","5","1","0","0"
"55～59歳","3","4","0","1","1","0","6","0","1","0"
"60～64歳","1","3","5","2","2","0","7","1","0","0"
"65～69歳","1","4","0","0","0","0","3","2","0","0"
"70歳以上","0","3","3","2","0","0","44","6","2","0"
"合計","168","122","86","96","12","3","98","28","3","0"
"定点数","53","53","53","53","53","53","25","25","25","25"


