"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年30週
"集計期間終了週",2019年30週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","19","17","36","410"
"RSウイルス感染症","208","157","365","259"
"咽頭結膜熱","62","39","101","259"
"Ａ群溶血性レンサ球菌咽頭炎","261","203","464","259"
"感染性胃腸炎","595","512","1107","259"
"水痘","77","48","125","259"
"手足口病","2647","2187","4834","259"
"伝染性紅斑","38","53","91","259"
"突発性発しん","60","58","118","259"
"ヘルパンギーナ","644","670","1314","259"
"流行性耳下腺炎","9","8","17","259"
"不明発しん症","23","14","37","259"
"川崎病","0","3","3","259"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","8","6","14","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","1","4","5","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
