"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2011年41週
"集計期間終了週",2011年41週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","14","13","27","410"
"RSウイルス感染症","83","54","137","258"
"咽頭結膜熱","19","9","28","258"
"Ａ群溶血性レンサ球菌咽頭炎","139","117","256","258"
"感染性胃腸炎","441","355","796","258"
"水痘","58","66","124","258"
"手足口病","179","142","321","258"
"伝染性紅斑","30","26","56","258"
"突発性発しん","77","67","144","258"
"百日咳","5","9","14","258"
"ヘルパンギーナ","45","30","75","258"
"流行性耳下腺炎","40","34","74","258"
"不明発しん症","12","8","20","258"
"川崎病","2","1","3","258"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","6","6","12","37"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","3","2","5","24"
"マイコプラズマ肺炎","32","23","55","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
"インフルエンザ入院","0","1","1","25"
