"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2009年44週
"集計期間終了週",2009年44週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","4154","3919","8073","288"
"RSウイルス感染症","7","7","14","148"
"咽頭結膜熱","3","2","5","148"
"Ａ群溶血性レンサ球菌咽頭炎","79","53","132","148"
"感染性胃腸炎","182","142","324","148"
"水痘","33","41","74","148"
"手足口病","26","24","50","148"
"伝染性紅斑","5","7","12","148"
"突発性発しん","37","34","71","148"
"百日咳","2","4","6","148"
"ヘルパンギーナ","12","9","21","148"
"流行性耳下腺炎","44","36","80","148"
"不明発しん症","5","5","10","148"
"川崎病","1","0","1","148"
"急性出血性結膜炎","1","0","1","39"
"流行性角結膜炎","11","5","16","39"
"細菌性髄膜炎","0","0","0","21"
"無菌性髄膜炎","0","0","0","21"
"マイコプラズマ肺炎","1","4","5","21"
"クラミジア肺炎(オウム病は除く)","2","0","2","21"
