"全数報告疾病 週報告分 （集計）"
"東京都"
"集計期間開始週","2000年5週"
"集計期間終了週","2000年5週"

"疾病名","報告数"
"エボラ出血熱","0"
"クリミア・コンゴ出血熱","0"
"ペスト","0"
"マールブルグ病","0"
"ラッサ熱","0"
"急性灰白髄炎","0"
"コレラ","0"
"細菌性赤痢","2"
"ジフテリア","0"
"腸チフス","0"
"パラチフス","0"
"腸管出血性大腸菌感染症","0"
"アメーバ赤痢","1"
"エキノコックス症","0"
"ウイルス性肝炎（Ｅ型肝炎及びＡ型肝炎を除く。）","6"
"黄熱","0"
"オウム病","0"
"回帰熱","0"
"Ｑ熱","0"
"狂犬病","0"
"クリプトスポリジウム症","0"
"クロイツフェルト・ヤコブ病","1"
"劇症型溶血性レンサ球菌感染症","0"
"後天性免疫不全症候群","9"
"コクシジオイデス症","0"
"ジアルジア症","0"
"腎症候性出血熱","0"
"髄膜炎菌性髄膜炎","0"
"先天性風しん症候群","0"
"炭疽","0"
"つつが虫病","0"
"デング熱","0"
"日本紅斑熱","0"
"日本脳炎","0"
"ハンタウイルス肺症候群","0"
"Ｂウイルス病","0"
"ブルセラ症","0"
"発しんチフス","0"
"乳児ボツリヌス症","0"
"梅毒","4"
"破傷風","0"
"バンコマイシン耐性腸球菌感染症","0"
"マラリア","0"
"ライム病","0"
"レジオネラ症","0"
"ウエストナイル熱","0"

