"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2023年18週
"集計期間終了週",2023年18週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","240","215","455","410"
"RSウイルス感染症","55","43","98","258"
"咽頭結膜熱","29","37","66","258"
"Ａ群溶血性レンサ球菌咽頭炎","96","75","171","258"
"感染性胃腸炎","555","472","1027","258"
"水痘","17","7","24","258"
"手足口病","23","10","33","258"
"伝染性紅斑","3","4","7","258"
"突発性発しん","37","41","78","258"
"ヘルパンギーナ","21","22","43","258"
"流行性耳下腺炎","6","5","11","258"
"不明発しん症","4","3","7","258"
"川崎病","2","1","3","258"
"急性出血性結膜炎","1","0","1","38"
"流行性角結膜炎","3","2","5","38"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","2","3","5","25"
