"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2008年3週
"集計期間終了週",2008年3週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","829","766","1595","289"
"RSウイルス感染症","11","6","17","150"
"咽頭結膜熱","16","22","38","150"
"Ａ群溶血性レンサ球菌咽頭炎","115","110","225","150"
"感染性胃腸炎","652","666","1318","150"
"水痘","70","82","152","150"
"手足口病","5","5","10","150"
"伝染性紅斑","16","15","31","150"
"突発性発しん","38","39","77","150"
"百日咳","1","1","2","150"
"ヘルパンギーナ","0","2","2","150"
"流行性耳下腺炎","18","11","29","150"
"不明発しん症","7","3","10","150"
"川崎病","2","1","3","150"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","9","5","14","38"
"細菌性髄膜炎","0","0","0","24"
"無菌性髄膜炎","0","0","0","24"
"マイコプラズマ肺炎","3","3","6","24"
"クラミジア肺炎(オウム病は除く)","0","0","0","24"
