"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2024年29週
"集計期間終了週",2024年29週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","69","52","121","419"
"新型コロナウイルス感染症（COVID-19）","1633","1930","3563","419"
"RSウイルス感染症","59","38","97","264"
"咽頭結膜熱","35","27","62","264"
"Ａ群溶血性レンサ球菌咽頭炎","252","200","452","264"
"感染性胃腸炎","420","355","775","264"
"水痘","23","15","38","264"
"手足口病","1995","1684","3679","264"
"伝染性紅斑","55","58","113","264"
"突発性発しん","30","32","62","264"
"ヘルパンギーナ","346","298","644","264"
"流行性耳下腺炎","9","5","14","264"
"不明発しん症","5","5","10","264"
"川崎病","1","1","2","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","5","13","18","39"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","15","14","29","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","1","1","2","25"
"COVID-19入院","106","95","201","25"
