"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2019年42週
"集計期間終了週",2019年42週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","108","135","243","415"
"RSウイルス感染症","99","56","155","260"
"咽頭結膜熱","38","19","57","260"
"Ａ群溶血性レンサ球菌咽頭炎","223","196","419","260"
"感染性胃腸炎","414","351","765","260"
"水痘","44","37","81","260"
"手足口病","283","226","509","260"
"伝染性紅斑","11","20","31","260"
"突発性発しん","46","63","109","260"
"ヘルパンギーナ","57","52","109","260"
"流行性耳下腺炎","15","5","20","260"
"不明発しん症","8","9","17","260"
"川崎病","1","0","1","260"
"急性出血性結膜炎","0","0","0","37"
"流行性角結膜炎","5","6","11","37"
"細菌性髄膜炎","1","2","3","23"
"無菌性髄膜炎","0","1","1","23"
"マイコプラズマ肺炎","3","1","4","23"
"クラミジア肺炎(オウム病は除く)","0","0","0","23"
"感染性胃腸炎（ロタウイルス）","0","0","0","23"
"インフルエンザ入院","2","1","3","23"
