"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2017年6月"
"集計期間終了月","2017年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","13","2","3","9","0","0","0","0","0","",""
"中央区","6","5","1","3","0","0","0","0","0","",""
"みなと","12","39","6","5","0","0","7","0","0","",""
"新宿区","25","21","35","18","0","0","10","0","0","",""
"文京","3","4","0","2","0","0","2","0","0","",""
"台東","0","0","1","0","1","0","0","0","0","",""
"墨田区","1","1","1","2","0","0","9","0","0","",""
"江東区","9","8","1","5","0","0","0","0","0","",""
"品川区","7","3","1","2","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","3","0","0","1","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","3","2","0","",""
"渋谷区","8","13","2","7","0","0","0","0","0","",""
"中野区","2","0","0","1","0","0","0","0","0","",""
"杉並","5","0","0","2","0","0","3","1","0","",""
"池袋","14","5","2","8","0","0","0","0","0","",""
"北区","1","0","0","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","3","0","2","3","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","2","0","",""
"江戸川","0","0","0","0","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","",""
"多摩府中","1","0","0","0","0","0","18","0","0","",""
"多摩小平","0","0","0","0","0","0","3","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","113","101","55","68","1","0","57","5","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2017年6月"
"集計期間終了月","2017年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","1","0","0","0","0","0","0","0","",""
"中央区","2","1","1","0","1","0","0","0","0","",""
"みなと","8","6","3","0","0","0","1","0","0","",""
"新宿区","6","5","19","6","0","0","7","0","0","",""
"文京","0","0","0","0","0","0","1","0","0","",""
"台東","4","0","2","8","5","0","0","0","0","",""
"墨田区","0","0","1","0","1","0","1","0","0","",""
"江東区","0","0","0","0","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","5","0","0","1","0","0","1","0","0","",""
"世田谷","0","0","0","0","0","0","3","0","0","",""
"渋谷区","10","6","1","0","2","0","0","0","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","2","0","0","1","0","0","0","0","0","",""
"池袋","9","4","0","1","0","0","1","1","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
