"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2003年51週
"集計期間終了週",2003年51週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","57","70","127","178"
"RSウイルス感染症","10","8","18","142"
"咽頭結膜熱","12","6","18","142"
"Ａ群溶血性レンサ球菌咽頭炎","70","89","159","142"
"感染性胃腸炎","1154","1090","2244","142"
"水痘","117","105","222","142"
"手足口病","5","4","9","142"
"伝染性紅斑","26","25","51","142"
"突発性発しん","44","45","89","142"
"百日咳","0","0","0","142"
"風しん","1","1","2","142"
"ヘルパンギーナ","3","2","5","142"
"麻しん（成人麻しん以外）","1","0","1","142"
"流行性耳下腺炎","16","7","23","142"
"不明発しん症","5","2","7","142"
"川崎病","1","1","2","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","14","13","27","14"
"細菌性髄膜炎","1","0","1","25"
"無菌性髄膜炎","0","1","1","25"
"マイコプラズマ肺炎","3","2","5","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
