"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2011年44週"
"集計期間終了週","2011年44週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","0","11","0","0","3","1","0","0","4","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"～1歳","0","17","1","0","48","8","8","3","29","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","0","23","8","2","92","18","40","3","39","1","6","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","0","2","5","9","63","36","26","2","5","0","2","3","3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"3歳","0","2","3","23","47","22","20","4","2","0","4","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","0","1","1","22","47","31","18","2","1","0","1","5","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"5歳","0","0","0","31","41","23","5","4","0","0","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","0","0","1","32","34","22","7","4","0","0","1","6","1","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0"
"7歳","1","0","2","33","30","9","4","2","0","0","0","12","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"8歳","1","0","1","19","19","5","1","3","0","0","2","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0"
"9歳","2","0","0","10","24","3","3","4","0","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
