"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年9月"
"集計期間終了月","2014年9月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","44","48","19","18","0","0","6","0","1","0","",""
"区南部","15","2","1","8","0","0","0","0","0","0","",""
"区西南部","2","0","0","1","0","1","4","1","0","0","",""
"区西部","44","7","33","30","0","6","8","0","0","0","",""
"区西北部","18","5","6","10","1","0","4","2","0","0","",""
"区東北部","4","1","0","3","0","0","1","3","0","0","",""
"区東部","20","4","3","10","0","2","3","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","1","0","0","0","0","0","0","",""
"北多摩西部","1","0","0","0","0","0","1","0","0","0","",""
"北多摩南部","2","0","0","0","0","0","13","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","1","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","150","67","62","81","1","9","42","8","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年9月"
"集計期間終了月","2014年9月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","38","25","8","34","2","0","3","0","1","0","",""
"区南部","5","0","0","0","0","0","1","0","0","0","",""
"区西南部","6","9","4","0","0","0","0","0","0","0","",""
"区西部","6","7","10","8","2","0","10","1","0","0","",""
"区西北部","13","5","0","0","0","0","3","1","0","0","",""
"区東北部","5","2","0","0","0","0","0","1","0","0","",""
"区東部","6","0","0","1","1","0","4","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","5","2","0","0","2","0","0","0","0","0","",""
"北多摩西部","13","3","1","2","0","0","0","0","0","0","",""
"北多摩南部","0","0","1","0","0","0","6","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","97","53","24","45","7","0","28","4","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2014年9月"
"集計期間終了月","2014年9月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","82","73","27","52","2","0","9","0","2","0","10","4"
"区南部","20","2","1","8","0","0","1","0","0","0","3","1"
"区西南部","8","9","4","1","0","1","4","1","0","0","4","3"
"区西部","50","14","43","38","2","6","18","1","0","0","11","4"
"区西北部","31","10","6","10","1","0","7","3","0","0","6","2"
"区東北部","9","3","0","3","0","0","1","4","0","0","3","1"
"区東部","26","4","3","11","1","2","7","1","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","5","2","0","1","2","0","0","0","0","0","5","1"
"北多摩西部","14","3","1","2","0","0","1","0","0","0","2","1"
"北多摩南部","2","0","1","0","0","0","19","0","0","0","3","3"
"北多摩北部","0","0","0","0","0","0","2","2","0","0","1","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","0","1"
"合計","247","120","86","126","8","9","70","12","2","0","54","25"


