"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2014年4月"
"集計期間終了月","2014年4月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","1","0","0","3","1","0","0"
"1～4歳","0","0","0","0","0","0","5","2","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0","0"
"15～19歳","3","0","0","5","0","0","2","0","0","0"
"20～24歳","15","0","3","13","0","0","0","0","0","0"
"25～29歳","21","2","4","12","0","0","0","0","0","0"
"30～34歳","18","4","7","14","0","2","0","0","0","0"
"35～39歳","17","8","10","10","0","2","0","0","0","0"
"40～44歳","5","11","9","10","0","2","1","1","0","0"
"45～49歳","6","13","7","4","0","0","2","0","0","0"
"50～54歳","2","4","0","3","0","0","2","0","0","0"
"55～59歳","2","3","5","2","0","1","0","0","1","0"
"60～64歳","1","1","2","0","0","0","3","1","0","0"
"65～69歳","3","2","1","1","0","1","1","0","0","0"
"70歳以上","0","4","0","0","0","0","16","0","0","0"
"合計","93","52","48","75","0","8","37","5","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2014年4月"
"集計期間終了月","2014年4月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","12","0","0","0"
"1～4歳","0","0","0","0","0","0","1","3","0","0"
"5～9歳","0","0","0","0","0","0","0","0","0","0"
"10～14歳","1","0","0","0","0","0","0","0","0","0"
"15～19歳","8","1","2","2","3","0","0","0","0","0"
"20～24歳","22","8","9","3","2","2","0","0","0","0"
"25～29歳","15","11","4","1","4","0","0","0","0","0"
"30～34歳","13","3","2","2","3","0","1","0","0","0"
"35～39歳","2","2","1","1","0","3","0","0","0","0"
"40～44歳","2","2","3","0","0","0","2","0","0","0"
"45～49歳","1","1","1","0","1","0","0","0","0","0"
"50～54歳","0","1","0","0","2","0","1","0","0","0"
"55～59歳","0","2","0","0","0","0","1","0","0","0"
"60～64歳","1","1","0","0","0","0","1","0","0","0"
"65～69歳","0","0","0","0","0","0","4","0","0","0"
"70歳以上","0","0","0","0","2","0","14","2","0","0"
"合計","65","32","22","9","17","5","37","5","0","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2014年4月"
"集計期間終了月","2014年4月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","1","0","0","15","1","0","0"
"1～4歳","0","0","0","0","0","0","6","5","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0","0"
"10～14歳","1","0","0","0","0","0","1","0","0","0"
"15～19歳","11","1","2","7","3","0","2","0","0","0"
"20～24歳","37","8","12","16","2","2","0","0","0","0"
"25～29歳","36","13","8","13","4","0","0","0","0","0"
"30～34歳","31","7","9","16","3","2","1","0","0","0"
"35～39歳","19","10","11","11","0","5","0","0","0","0"
"40～44歳","7","13","12","10","0","2","3","1","0","0"
"45～49歳","7","14","8","4","1","0","2","0","0","0"
"50～54歳","2","5","0","3","2","0","3","0","0","0"
"55～59歳","2","5","5","2","0","1","1","0","1","0"
"60～64歳","2","2","2","0","0","0","4","1","0","0"
"65～69歳","3","2","1","1","0","1","5","0","0","0"
"70歳以上","0","4","0","0","2","0","30","2","0","0"
"合計","158","84","70","84","17","13","74","10","1","0"
"定点数","54","54","54","54","54","54","25","25","25","25"


