"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2014年2月"
"集計期間終了月","2014年2月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","7","7","3","2","0","0","0","0","0","0","",""
"中央区","10","1","1","2","0","0","0","0","0","0","",""
"みなと","7","25","12","3","0","0","7","0","0","0","",""
"新宿区","23","12","16","36","0","4","5","0","0","0","",""
"文京","2","0","0","5","0","0","0","1","1","0","",""
"台東","0","0","0","0","1","0","0","0","0","0","",""
"墨田区","2","1","0","1","0","0","1","1","0","0","",""
"江東区","8","9","0","10","0","1","0","0","0","0","",""
"品川区","3","7","2","6","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","1","0","0","2","0","0","1","1","0","0","",""
"世田谷","0","0","0","0","0","0","1","2","0","0","",""
"渋谷区","9","3","0","2","0","0","0","0","0","0","",""
"中野区","4","0","0","0","0","0","0","0","0","0","",""
"杉並","2","0","0","1","0","0","2","0","0","0","",""
"池袋","8","4","3","5","0","0","2","2","1","0","",""
"北区","2","0","1","1","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","0","",""
"板橋区","1","0","0","3","0","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","2","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","3","1","0","",""
"江戸川","3","0","0","0","0","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","2","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","1","0","0","0","0","0","1","0","0","0","",""
"多摩府中","0","0","0","0","0","0","26","0","0","0","",""
"多摩小平","0","0","0","0","0","0","1","4","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","93","69","38","81","1","5","49","14","3","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2014年2月"
"集計期間終了月","2014年2月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","0","",""
"中央区","1","1","0","0","0","0","0","0","0","0","",""
"みなと","1","5","4","1","0","1","3","0","0","0","",""
"新宿区","4","9","9","3","1","0","4","1","0","0","",""
"文京","0","0","0","0","0","0","0","1","0","0","",""
"台東","0","1","0","0","0","0","0","0","0","0","",""
"墨田区","3","0","0","1","1","1","2","0","0","0","",""
"江東区","0","0","0","0","0","0","0","0","0","0","",""
"品川区","0","0","0","0","0","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","0","",""
"大田区","4","0","0","0","0","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","0","2","0","0","",""
"渋谷区","9","11","1","0","0","0","0","0","0","0","",""
"中野区","0","0","0","0","2","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","1","0","0","0","",""
"池袋","5","4","3","0","0","0","0","2","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","0","",""
"荒川区","3","3","0","0","0","0","0","0","0","0","",""
"板橋区","3","1","0","0","0","0","2","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","0","",""
"足立","2","0","1","0","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","1","0","0","",""
"江戸川","1","2","0","0","1","0","0","0","0","0","",""
"八王子市","6","0","0","0","0","0","1","0","0","0","",""
"町田市","1","2","0","0","2","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"多摩立川","19","0","2","1","1","1","0","0","0","0","",""
