"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2008年26週"
"集計期間終了週","2008年26週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"～5ヶ月","0","0","0","0","7","2","0","0","2","0","2","0","0","0","0","0","0","0","0","0"
"～1歳","0","0","4","1","36","6","6","4","24","0","10","0","3","0","0","0","0","0","0","0"
"1歳","1","0","13","6","69","19","16","1","28","0","53","0","1","0","0","0","0","0","0","0"
"2歳","0","0","4","14","41","15","15","0","2","0","57","5","5","0","0","0","0","0","0","0"
"3歳","2","0","6","22","50","15","12","2","2","0","30","7","1","0","0","0","0","0","0","0"
"4歳","0","0","8","34","46","15","14","4","0","0","21","13","1","0","0","1","0","0","0","0"
"5歳","0","0","8","51","35","20","2","2","0","0","14","11","0","0","0","0","1","0","0","0"
"6歳","0","0","4","25","26","9","3","2","0","0","6","8","0","0","0","0","0","0","0","0"
"7歳","0","0","3","14","30","5","4","3","0","1","1","8","0","0","0","0","0","0","0","0"
"8歳","0","0","0","10","18","1","0","1","0","0","0","6","0","0","0","0","0","0","0","0"
"9歳","0","0","1","5","17","1","0","0","0","0","1","4","0","0","0","0","0","0","0","0"
"10～14歳","2","0","1","11","34","2","0","1","0","1","2","4","0","0","0","0","0","0","0","0"
"15～19歳","2","0","1","0","8","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
