"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2017年12週
"集計期間終了週",2017年12週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","1461","1547","3008","414"
"RSウイルス感染症","15","11","26","261"
"咽頭結膜熱","26","26","52","261"
"Ａ群溶血性レンサ球菌咽頭炎","209","206","415","261"
"感染性胃腸炎","934","824","1758","261"
"水痘","46","29","75","261"
"手足口病","3","6","9","261"
"伝染性紅斑","6","15","21","261"
"突発性発しん","54","45","99","261"
"百日咳","0","0","0","261"
"ヘルパンギーナ","1","0","1","261"
"流行性耳下腺炎","38","21","59","261"
"不明発しん症","8","5","13","261"
"川崎病","3","0","3","261"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","7","8","15","39"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","2","2","25"
"マイコプラズマ肺炎","2","3","5","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","24","10","34","25"
"インフルエンザ入院","8","8","16","25"
