"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2002年6月"
"集計期間終了月","2002年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","10","6","2"
"1～4歳","0","0","0","0","0","0","5","12","2"
"5～9歳","0","0","0","0","0","0","1","3","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","6","0","1","3","0","0","1","0","0"
"20～24歳","20","5","2","22","1","0","2","0","0"
"25～29歳","20","7","6","15","0","2","1","2","0"
"30～34歳","15","10","3","18","0","0","3","0","0"
"35～39歳","17","5","4","12","0","1","3","0","0"
"40～44歳","9","2","0","4","0","1","0","0","0"
"45～49歳","6","3","3","4","0","0","1","1","0"
"50～54歳","5","4","0","3","0","0","0","1","0"
"55～59歳","3","0","0","0","0","0","5","2","0"
"60～64歳","0","2","1","0","0","0","6","0","0"
"65～69歳","0","0","0","1","1","0","12","1","0"
"70歳以上","0","1","0","0","0","0","50","6","2"
"合計","101","39","20","82","2","4","100","34","6"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2002年6月"
"集計期間終了月","2002年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","1","0"
"1～4歳","0","0","0","0","0","0","2","8","0"
"5～9歳","0","0","0","0","0","0","1","2","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","18","1","1","5","3","0","0","0","0"
"20～24歳","33","4","11","13","11","0","1","0","0"
"25～29歳","25","11","5","6","7","0","3","2","1"
"30～34歳","15","7","0","6","3","0","1","1","0"
"35～39歳","7","5","0","4","6","1","3","1","0"
"40～44歳","1","2","0","1","5","0","1","1","0"
"45～49歳","0","2","0","0","0","0","1","0","0"
"50～54歳","0","0","0","0","5","0","0","0","0"
"55～59歳","2","0","0","0","1","0","1","0","1"
"60～64歳","0","0","0","0","0","0","5","1","0"
"65～69歳","0","0","0","0","1","0","4","2","0"
"70歳以上","0","1","0","0","0","0","21","1","0"
"合計","101","33","17","35","42","1","47","20","2"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2002年6月"
"集計期間終了月","2002年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","13","7","2"
"1～4歳","0","0","0","0","0","0","7","20","2"
"5～9歳","0","0","0","0","0","0","2","5","0"
"10～14歳","0","0","0","0","0","0","0","0","0"
"15～19歳","24","1","2","8","3","0","1","0","0"
"20～24歳","53","9","13","35","12","0","3","0","0"
"25～29歳","45","18","11","21","7","2","4","4","1"
"30～34歳","30","17","3","24","3","0","4","1","0"
"35～39歳","24","10","4","16","6","2","6","1","0"
"40～44歳","10","4","0","5","5","1","1","1","0"
"45～49歳","6","5","3","4","0","0","2","1","0"
"50～54歳","5","4","0","3","5","0","0","1","0"
"55～59歳","5","0","0","0","1","0","6","2","1"
"60～64歳","0","2","1","0","0","0","11","1","0"
"65～69歳","0","0","0","1","2","0","16","3","0"
"70歳以上","0","2","0","0","0","0","71","7","2"
"合計","202","72","37","117","44","5","147","54","8"
"定点数","41","41","41","41","41","41","25","25","25"


