"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2014年5月"
"集計期間終了月","2014年5月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","3","0","0","0"
"1～4歳","0","0","0","0","0","0","3","4","0","0"
"5～9歳","0","0","0","0","0","0","0","1","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0","0"
"15～19歳","2","0","0","1","0","0","1","0","0","0"
"20～24歳","17","1","4","12","0","0","0","0","0","0"
"25～29歳","17","10","11","11","0","0","0","0","0","0"
"30～34歳","28","12","9","18","0","2","0","0","0","0"
"35～39歳","19","17","4","12","0","2","0","0","0","0"
"40～44歳","10","11","7","8","0","2","1","0","0","0"
"45～49歳","10","8","1","7","0","0","1","0","0","0"
"50～54歳","2","6","4","3","0","0","0","0","0","0"
"55～59歳","4","5","1","3","0","0","1","0","0","0"
"60～64歳","5","1","1","2","0","0","2","0","0","0"
"65～69歳","0","3","0","1","0","1","4","1","0","0"
"70歳以上","1","0","0","0","0","0","21","4","1","0"
"合計","115","74","42","78","0","7","38","10","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2014年5月"
"集計期間終了月","2014年5月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","15","0","0","0"
"1～4歳","0","0","0","0","0","0","2","3","0","0"
"5～9歳","0","0","0","0","0","0","1","0","0","0"
"10～14歳","0","0","0","0","0","0","1","0","0","0"
"15～19歳","12","1","0","1","0","0","0","0","0","0"
"20～24歳","30","6","8","9","3","4","0","0","0","0"
"25～29歳","28","8","4","9","4","1","0","0","0","0"
"30～34歳","12","5","7","6","2","1","2","0","0","0"
"35～39歳","14","6","1","6","1","0","0","0","0","0"
"40～44歳","7","4","1","6","3","0","1","0","0","0"
"45～49歳","6","0","0","5","0","0","0","0","0","0"
"50～54歳","1","3","0","3","1","0","1","1","1","0"
"55～59歳","0","1","1","1","1","0","0","0","0","0"
"60～64歳","0","0","0","1","1","0","2","0","0","0"
"65～69歳","0","0","0","0","0","0","3","0","0","0"
"70歳以上","0","2","0","0","0","0","9","2","0","0"
"合計","110","36","22","47","16","6","37","6","1","0"


"定点報告疾患 月報告分 年齢別集計表"
"東京都"
"集計期間開始月","2014年5月"
"集計期間終了月","2014年5月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","18","0","0","0"
"1～4歳","0","0","0","0","0","0","5","7","0","0"
"5～9歳","0","0","0","0","0","0","1","1","0","0"
"10～14歳","0","0","0","0","0","0","2","0","0","0"
"15～19歳","14","1","0","2","0","0","1","0","0","0"
"20～24歳","47","7","12","21","3","4","0","0","0","0"
"25～29歳","45","18","15","20","4","1","0","0","0","0"
"30～34歳","40","17","16","24","2","3","2","0","0","0"
"35～39歳","33","23","5","18","1","2","0","0","0","0"
"40～44歳","17","15","8","14","3","2","2","0","0","0"
"45～49歳","16","8","1","12","0","0","1","0","0","0"
"50～54歳","3","9","4","6","1","0","1","1","1","0"
"55～59歳","4","6","2","4","1","0","1","0","0","0"
"60～64歳","5","1","1","3","1","0","4","0","0","0"
"65～69歳","0","3","0","1","0","1","7","1","0","0"
"70歳以上","1","2","0","0","0","0","30","6","1","0"
"合計","225","110","64","125","16","13","75","16","2","0"
"定点数","54","54","54","54","54","54","25","25","25","25"


