"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2013年5月"
"集計期間終了月","2013年5月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","44","39","14","19","0","0","3","2","2","0","",""
"区南部","6","2","0","6","0","0","3","0","0","0","",""
"区西南部","4","2","0","0","1","1","3","1","1","0","",""
"区西部","35","16","26","22","0","6","9","6","0","0","",""
"区西北部","12","5","6","6","0","2","3","4","1","0","",""
"区東北部","1","0","0","0","0","0","5","4","0","0","",""
"区東部","18","6","2","10","0","0","4","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","0","",""
"北多摩西部","1","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","1","0","0","1","0","0","8","15","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","122","70","48","64","1","9","38","34","4","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2013年5月"
"集計期間終了月","2013年5月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","3","10","4","0","0","2","4","2","1","0","",""
"区南部","3","0","0","0","0","0","0","0","0","0","",""
"区西南部","7","7","3","0","0","0","1","2","0","0","",""
"区西部","11","8","7","2","2","0","6","1","0","0","",""
"区西北部","16","7","5","1","0","1","4","1","0","0","",""
"区東北部","5","2","1","0","2","0","1","4","0","0","",""
"区東部","9","4","3","2","2","1","1","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","13","1","0","0","2","0","0","0","0","0","",""
"北多摩西部","8","0","1","1","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","1","6","0","0","",""
"北多摩北部","0","0","0","0","0","0","1","2","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","0","",""
"合計","75","39","24","6","8","4","20","20","1","0","",""


"定点報告疾患 月報告分 医療圏別"
"東京都"
"集計期間開始月","2013年5月"
"集計期間終了月","2013年5月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","47","49","18","19","0","2","7","4","3","0","10","4"
"区南部","9","2","0","6","0","0","3","0","0","0","3","1"
"区西南部","11","9","3","0","1","1","4","3","1","0","4","3"
"区西部","46","24","33","24","2","6","15","7","0","0","11","4"
"区西北部","28","12","11","7","0","3","7","5","1","0","6","2"
"区東北部","6","2","1","0","2","0","6","8","0","0","3","1"
"区東部","27","10","5","12","2","1","5","2","0","0","6","1"
"西多摩","0","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","13","1","0","0","2","0","0","0","0","0","5","1"
"北多摩西部","9","0","1","1","0","0","0","0","0","0","2","1"
"北多摩南部","1","0","0","1","0","0","9","21","0","0","3","2"
"北多摩北部","0","0","0","0","0","0","1","4","0","0","1","2"
"島しょ","0","0","0","0","0","0","1","0","0","0","0","1"
"合計","197","109","72","70","9","13","58","54","5","0","54","24"


