"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2000年14週
"集計期間終了週",2000年14週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","5","4","9","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","0","1","1","142"
"Ａ群溶血性レンサ球菌咽頭炎","34","25","59","142"
"感染性胃腸炎","415","388","803","142"
"水痘","83","88","171","142"
"手足口病","6","6","12","142"
"伝染性紅斑","21","12","33","142"
"突発性発しん","37","34","71","142"
"百日咳","0","1","1","142"
"風しん","4","5","9","142"
"ヘルパンギーナ","6","4","10","142"
"麻しん（成人麻しん以外）","3","2","5","142"
"流行性耳下腺炎","36","38","74","142"
"不明発しん症","10","3","13","142"
"川崎病","1","1","2","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","9","4","13","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","0","0","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
