"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2004年25週
"集計期間終了週",2004年25週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","0","0","178"
"RSウイルス感染症","2","4","6","142"
"咽頭結膜熱","54","55","109","142"
"Ａ群溶血性レンサ球菌咽頭炎","80","67","147","142"
"感染性胃腸炎","298","250","548","142"
"水痘","63","68","131","142"
"手足口病","62","45","107","142"
"伝染性紅斑","42","56","98","142"
"突発性発しん","41","36","77","142"
"百日咳","2","1","3","142"
"風しん","1","4","5","142"
"ヘルパンギーナ","155","139","294","142"
"麻しん（成人麻しん以外）","0","4","4","142"
"流行性耳下腺炎","31","19","50","142"
"不明発しん症","6","9","15","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","6","4","10","14"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","4","3","7","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
