"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2014年21週"
"集計期間終了週","2014年21週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","2","1","8","21","51","3","1","3","6","0","1","1","0","0","0","2","1","0","0","0","0","0","","","","","",""
"区南部","1","1","13","26","97","14","3","7","10","0","3","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","1","2","1","36","114","17","1","12","5","0","0","1","1","0","0","4","0","0","0","0","3","0","","","","","",""
"区西部","0","3","5","21","93","7","1","0","7","0","0","4","0","0","0","1","0","1","1","0","0","0","","","","","",""
"区西北部","6","0","11","66","72","17","6","1","12","0","0","3","1","2","0","3","0","0","0","0","0","0","","","","","",""
"区東北部","7","0","8","55","97","10","0","3","5","0","2","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","5","2","9","37","171","18","7","5","13","0","6","7","2","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","1","0","3","14","14","3","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","2","0","11","104","162","42","15","10","8","0","2","5","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","3","1","34","40","5","0","2","6","0","1","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","2","49","87","13","1","5","13","0","0","3","1","0","0","2","1","0","0","0","0","0","","","","","",""
"北多摩北部","1","1","6","30","65","7","0","1","7","0","2","1","1","0","0","1","0","0","1","0","0","0","","","","","",""
"島しょ","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","26","13","78","496","1063","156","35","49","95","0","17","33","7","3","0","14","2","1","2","0","3","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2014年21週"
"集計期間終了週","2014年21週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","1","1","9","24","43","9","1","1","8","0","1","1","0","0","0","1","1","0","0","0","0","0","","","","","",""
"区南部","1","1","14","20","80","16","3","6","10","0","1","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","1","2","1","28","66","21","1","8","7","0","0","5","3","0","0","4","0","0","0","0","2","0","","","","","",""
"区西部","2","3","3","27","79","4","1","1","8","0","0","2","2","1","0","1","0","1","1","0","0","0","","","","","",""
"区西北部","11","0","10","52","84","16","3","2","5","0","1","3","2","2","0","2","0","1","0","0","0","0","","","","","",""
"区東北部","3","1","7","42","76","17","2","3","11","0","2","3","0","0","0","1","0","0","1","0","1","0","","","","","",""
"区東部","2","2","6","27","131","17","5","10","12","0","5","5","1","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","1","0","3","5","16","5","0","1","4","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","2","0","12","77","126","32","12","6","14","0","3","2","3","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","1","1","27","28","3","0","4","4","0","1","2","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩南部","1","0","1","43","93","17","2","4","9","0","0","3","1","0","0","1","1","0","0","0","0","0","","","","","",""
"北多摩北部","1","1","3","25","48","11","1","3","8","0","2","1","1","0","0","1","0","0","1","0","0","0","","","","","",""
"島しょ","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","26","12","70","400","870","168","31","49","100","0","16","31","13","4","0","14","2","2","3","0","3","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2014年21週"
"集計期間終了週","2014年21週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","3","2","17","45","94","12","1","4","14","0","1","1","0","0","0","3","1","0","0","0","0","0","32","20","2","4","4","0"
"区南部","2","1","27","46","177","30","3","13","20","0","4","2","0","0","0","1","0","0","0","0","0","0","33","21","3","1","1","0"
"区西南部","2","2","2","64","180","38","1","20","12","0","0","6","4","0","0","4","0","0","0","0","5","0","40","25","4","3","3","0"
"区西部","2","3","8","48","172","11","2","1","15","0","0","6","2","1","0","2","0","1","1","0","0","0","38","25","4","4","4","0"
"区西北部","17","0","21","118","156","33","9","3","17","0","1","6","3","2","0","5","0","1","0","0","0","0","53","34","6","2","2","0"
"区東北部","10","1","15","97","173","27","2","6","16","0","2","4","0","0","0","1","0","0","1","0","1","0","39","25","4","1","1","0"
"区東部","7","2","15","64","302","35","12","15","25","0","11","12","3","1","0","0","0","0","0","0","0","0","41","26","4","1","1","0"
"西多摩","2","0","3","19","30","8","0","1","7","0","0","4","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","2","0","23","181","288","74","27","16","22","0","5","7","4","0","0","1","0","0","0","0","0","0","45","28","4","1","1","0"
"北多摩西部","0","4","1","61","68","8","0","6","10","0","1","5","0","0","0","1","0","0","0","0","0","0","21","14","2","1","1","0"
"北多摩南部","1","0","3","92","180","30","3","9","22","0","0","3","1","0","0","3","1","0","0","0","0","0","33","21","3","3","3","0"
"北多摩北部","1","1","9","55","113","18","1","4","15","0","4","2","2","0","0","1","0","0","1","0","0","0","23","15","2","2","2","0"
"島しょ","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","49","16","144","893","1933","324","61","98","195","0","29","58","19","4","0","22","2","2","3","0","6","0","414","263","39","25","25","0"


