"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2007年7週"
"集計期間終了週","2007年7週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","4","3","1","0","2","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","8","4","1","0","15","3","0","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","40","3","3","1","45","18","2","3","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","49","1","1","3","29","15","0","0","1","0","0","0","0","2","0","1","0","0","0","0","1","0","0"
"3歳","57","0","3","10","32","20","1","3","1","0","0","0","0","3","1","0","0","0","0","0","0","0","0"
"4歳","50","0","5","18","32","13","2","2","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"5歳","56","0","1","20","34","16","1","8","1","0","0","0","0","3","0","0","0","0","0","0","1","0","0"
"6歳","72","0","1","18","31","6","0","4","0","0","0","1","0","3","0","0","0","0","0","0","1","0","0"
"7歳","70","0","1","18","20","2","0","3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"8歳","73","0","2","12","8","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"9歳","51","0","1","4","10","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","261","0","1","18","44","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"15～19歳","107","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","118","1","1","7","51","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0"
"30～39歳","117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"40～49歳","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"50～59歳","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60～69歳","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0"
"70～79歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1291","12","22","130","356","103","6","26","29","0","0","4","0","18","3","1","0","7","0","2","3","0","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2007年7週"
"集計期間終了週","2007年7週"
"性別","女性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","0","0","0","0","2","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","6","3","0","0","17","4","0","2","13","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","43","0","1","1","42","17","3","1","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2歳","42","0","1","2","25","24","1","1","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0"
"3歳","43","0","0","7","21","16","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"4歳","69","0","2","7","28","19","1","4","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0"
"5歳","58","0","3","15","25","15","0","4","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"6歳","61","0","3","9","17","5","1","5","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"7歳","53","0","1","21","14","3","0","4","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"8歳","46","0","1","5","6","2","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"9歳","49","0","0","8","13","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10～14歳","254","0","0","4","30","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15～19歳","104","0","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","151","1","0","16","72","3","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"30～39歳","159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"40～49歳","94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50～59歳","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1321","4","12","97","322","117","7","30","26","1","0","1","0","13","3","2","0","2","0","0","2","0","0"
"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2007年7週"
"集計期間終了週","2007年7週"
"性別","男女合計"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"～5ヶ月","4","3","1","0","4","7","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","14","7","1","0","32","7","0","3","26","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"1歳","83","3","4","2","87","35","5","4","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2歳","91","1","2","5","54","39","1","1","2","0","0","1","0","4","0","1","0","0","0","0","1","0","0"
"3歳","100","0","3","17","53","36","1","5","1","0","0","0","0","4","1","0","0","0","0","0","0","0","0"
"4歳","119","0","7","25","60","32","3","6","0","0","0","0","0","7","0","0","0","0","0","0","1","0","0"
"5歳","114","0","4","35","59","31","1","12","2","0","0","0","0","4","0","1","0","0","0","0","1","0","0"
"6歳","133","0","4","27","48","11","1","9","0","0","0","1","0","5","1","0","0","0","0","0","1","0","0"
"7歳","123","0","2","39","34","5","0","7","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0"
"8歳","119","0","3","17","14","3","0","2","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0"
"9歳","100","0","1","12","23","6","0","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10～14歳","515","0","1","22","74","5","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"15～19歳","211","0","0","3","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","269","2","1","23","123","3","1","1","1","1","0","2","0","0","0","0","0","3","0","0","0","0","0"
"30～39歳","276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"40～49歳","178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"50～59歳","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"60～69歳","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0"
"70～79歳","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","2612","16","34","227","678","220","13","56","55","1","0","5","0","31","6","3","0","9","0","2","5","0","0"
"定点数","278","141","141","141","141","141","141","141","141","141","141","141","141","141","141","141","14","14","23","23","23","23","23"


