"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2001年10週"
"集計期間終了週","2001年10週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","10","0","0","0","10","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央","1","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"日本橋","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","2","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","15","0","0","1","39","5","0","0","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","14","0","0","0","10","0","0","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","11","0","0","2","26","6","0","3","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","6","0","0","0","10","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","","","","","",""
"江東区","3","0","0","5","16","1","0","0","1","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"品川区","4","0","0","2","22","1","0","4","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","2","0","0","0","11","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","22","0","0","1","31","1","0","3","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","23","0","3","0","35","9","0","2","1","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","","","","","",""
"渋谷区","11","0","0","1","27","2","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","14","0","0","0","27","2","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","4","0","0","0","9","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"長崎","0","0","0","0","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","21","0","0","0","13","4","3","3","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","4","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"板橋区","24","0","0","0","9","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","16","0","0","4","9","2","0","4","1","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","9","0","0","1","29","5","0","0","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","41","0","0","4","14","9","1","7","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","1","0","0","0","15","4","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"小岩","0","0","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","16","0","0","0","5","7","0","0","3","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
