"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2023年24週"
"集計期間終了週","2023年24週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","1","4","20","2","1","9","0","1","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"～1歳","2","12","38","9","2","58","0","8","0","10","48","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","12","18","89","24","9","113","0","30","0","22","156","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","9","8","60","13","9","97","1","20","0","7","177","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","14","5","47","16","20","96","1","13","2","3","131","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","12","12","25","10","44","120","1","14","1","2","124","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","21","4","10","7","44","103","2","8","0","2","101","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","32","8","3","3","55","78","0","4","0","0","36","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","18","13","1","2","35","70","4","3","0","0","19","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","19","12","2","0","17","55","2","1","1","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","21","11","1","0","6","31","1","2","0","0","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10～14歳","68","138","1","0","21","64","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15～19歳","24","153","0","0","2","20","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20～29歳","6","159","1","0","8","23","0","0","0","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30～39歳","8","144","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40～49歳","19","151","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50～59歳","7","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60～69歳","11","87","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0"
"70～79歳","1","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
