"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2020年17週
"集計期間終了週",2020年17週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","0","2","2","413"
"RSウイルス感染症","0","1","1","260"
"咽頭結膜熱","5","6","11","260"
"Ａ群溶血性レンサ球菌咽頭炎","43","47","90","260"
"感染性胃腸炎","119","123","242","260"
"水痘","8","12","20","260"
"手足口病","5","3","8","260"
"伝染性紅斑","4","4","8","260"
"突発性発しん","39","29","68","260"
"ヘルパンギーナ","1","0","1","260"
"流行性耳下腺炎","5","4","9","260"
"不明発しん症","4","0","4","260"
"川崎病","3","2","5","260"
"急性出血性結膜炎","1","0","1","37"
"流行性角結膜炎","3","1","4","37"
"細菌性髄膜炎","2","0","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","3","5","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","0","0","0","25"
