"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2003年5週
"集計期間終了週",2003年5週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","2589","2415","5004","178"
"RSウイルス感染症","0","0","0","142"
"咽頭結膜熱","7","4","11","142"
"Ａ群溶血性レンサ球菌咽頭炎","38","40","78","142"
"感染性胃腸炎","453","465","918","142"
"水痘","65","45","110","142"
"手足口病","2","1","3","142"
"伝染性紅斑","12","7","19","142"
"突発性発しん","35","25","60","142"
"百日咳","0","0","0","142"
"風しん","0","1","1","142"
"ヘルパンギーナ","0","4","4","142"
"麻しん（成人麻しん以外）","9","4","13","142"
"流行性耳下腺炎","22","9","31","142"
"不明発しん症","8","6","14","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","5","6","11","14"
"急性脳炎(日本脳炎を除く)","0","0","0","25"
"細菌性髄膜炎","1","1","2","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","2","0","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","2","3","5","25"
