"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2018年4週
"集計期間終了週",2018年4週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","11405","11099","22504","416"
"RSウイルス感染症","49","38","87","263"
"咽頭結膜熱","24","20","44","263"
"Ａ群溶血性レンサ球菌咽頭炎","382","338","720","263"
"感染性胃腸炎","725","701","1426","263"
"水痘","34","19","53","263"
"手足口病","10","13","23","263"
"伝染性紅斑","18","14","32","263"
"突発性発しん","56","53","109","263"
"ヘルパンギーナ","0","1","1","263"
"流行性耳下腺炎","12","13","25","263"
"不明発しん症","2","2","4","263"
"川崎病","2","0","2","263"
"急性出血性結膜炎","0","0","0","38"
"流行性角結膜炎","6","3","9","38"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","3","3","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","63","47","110","25"
