"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2024年40週
"集計期間終了週",2024年40週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","163","172","335","419"
"新型コロナウイルス感染症（COVID-19）","452","573","1025","419"
"RSウイルス感染症","27","23","50","264"
"咽頭結膜熱","28","13","41","264"
"Ａ群溶血性レンサ球菌咽頭炎","221","181","402","264"
"感染性胃腸炎","392","338","730","264"
"水痘","26","9","35","264"
"手足口病","1420","1235","2655","264"
"伝染性紅斑","146","116","262","264"
"突発性発しん","39","37","76","264"
"ヘルパンギーナ","50","44","94","264"
"流行性耳下腺炎","4","8","12","264"
"不明発しん症","3","4","7","264"
"川崎病","2","2","4","264"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","6","8","14","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","1","0","1","25"
"マイコプラズマ肺炎","56","29","85","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","2","4","6","25"
"COVID-19入院","41","37","78","25"
