"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2012年44週
"集計期間終了週",2012年44週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","14","6","20","416"
"RSウイルス感染症","101","70","171","261"
"咽頭結膜熱","48","29","77","261"
"Ａ群溶血性レンサ球菌咽頭炎","203","170","373","261"
"感染性胃腸炎","760","713","1473","261"
"水痘","73","68","141","261"
"手足口病","54","49","103","261"
"伝染性紅斑","4","6","10","261"
"突発性発しん","64","82","146","261"
"百日咳","3","8","11","261"
"ヘルパンギーナ","12","13","25","261"
"流行性耳下腺炎","24","24","48","261"
"不明発しん症","9","7","16","261"
"川崎病","2","4","6","261"
"急性出血性結膜炎","0","1","1","39"
"流行性角結膜炎","10","5","15","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","2","2","4","25"
"マイコプラズマ肺炎","14","15","29","25"
"クラミジア肺炎(オウム病は除く)","1","0","1","25"
"インフルエンザ入院","1","0","1","25"
