"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2018年51週"
"集計期間終了週","2018年51週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","18","0","0","4","9","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","1","","","","","",""
"中央区","14","0","3","6","46","4","7","8","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","29","0","4","13","32","2","2","9","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","29","2","0","13","39","1","1","2","1","0","0","0","1","0","0","0","0","0","0","0","1","","","","","",""
"文京","35","1","1","7","29","0","1","8","1","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","14","0","5","11","72","1","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","24","0","1","0","35","1","0","1","2","0","0","0","1","0","0","0","0","2","0","0","0","","","","","",""
"江東区","55","1","0","19","99","3","8","9","2","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"品川区","43","0","1","5","49","1","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","55","1","1","13","34","0","0","4","3","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"大田区","127","1","8","18","112","5","10","13","4","0","0","0","1","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","84","4","3","34","110","10","9","19","1","0","0","1","0","0","1","0","0","0","0","0","4","","","","","",""
"渋谷区","15","0","0","2","22","1","3","2","0","0","0","0","0","0","0","0","0","1","0","1","1","","","","","",""
"中野区","63","0","1","16","44","1","4","2","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","130","0","1","30","48","1","3","6","4","0","0","0","0","0","1","0","0","1","0","0","1","","","","","",""
"池袋","16","2","1","3","5","2","0","3","0","0","0","0","0","0","1","0","0","1","0","0","0","","","","","",""
"北区","28","0","0","8","28","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","44","2","3","9","46","2","5","5","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","68","0","0","3","45","5","1","10","0","0","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"練馬区","122","1","1","37","106","6","9","8","2","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","55","1","4","13","100","3","0","7","2","0","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"葛飾区","27","0","0","16","50","2","1","8","1","1","0","0","0","0","0","0","0","2","0","0","0","","","","","",""
"江戸川","42","3","4","30","126","3","1","9","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","61","7","5","28","97","1","4","29","3","0","2","0","0","0","0","0","0","0","0","0","1","","","","","",""
"町田市","44","1","1","12","65","2","4","9","2","1","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","36","0","1","8","15","0","5","10","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","68","2","1","8","41","3","4","11","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","43","3","1","28","77","6","9","8","3","0","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"多摩府中","153","2","1","61","172","11","5","35","6","0","0","0","0","0","0","1","0","2","0","0","3","","","","","",""
"多摩小平","72","5","5","49","95","8","3","27","2","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"島しょ","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1625","39","57","504","1848","86","105","283","53","3","10","2","6","0","7","1","0","10","0","1","14","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2018年51週"
"集計期間終了週","2018年51週"
"性別","女性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","18","0","1","4","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","12","0","2","3","52","1","3","7","1","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"みなと","33","0","0","16","35","0","3","2","0","0","0","0","0","0","0","0","0","1","1","0","0","","","","","",""
"新宿区","32","3","0","6","24","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","32","0","0","6","30","0","1","3","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","8","0","4","9","54","0","0","9","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","23","1","1","1","31","1","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"江東区","53","0","0","13","96","3","5","15","3","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","36","1","0","6","48","1","1","5","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","40","1","0","11","31","1","1","3","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","151","1","3","18","87","2","6","10","0","0","0","1","0","0","2","0","0","0","0","0","0","","","","","",""
"世田谷","95","1","3","36","91","6","3","15","0","0","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"渋谷区","23","0","2","0","19","0","0","1","0","0","0","0","0","0","3","0","0","1","0","0","0","","","","","",""
"中野区","62","0","3","14","62","0","7","3","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","120","0","1","17","43","2","1","9","2","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"池袋","17","1","1","2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","36","0","0","10","43","5","2","4","2","0","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"荒川区","37","1","2","8","43","1","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","69","0","0","1","43","2","1","8","4","0","0","0","0","0","1","0","0","0","0","1","2","","","","","",""
"練馬区","100","2","1","26","60","6","1","4","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","38","0","5","12","107","10","4","10","2","0","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"葛飾区","39","1","1","17","68","2","1","6","0","0","0","0","0","0","0","0","0","2","0","0","1","","","","","",""
"江戸川","46","1","5","28","114","3","2","14","3","0","2","0","1","0","3","0","0","0","0","0","0","","","","","",""
"八王子市","41","7","2","24","90","2","8","38","4","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","30","1","0","13","65","4","4","17","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","44","0","1","5","17","0","3","15","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","59","1","1","10","35","5","0","7","4","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","44","0","0","22","83","6","6","7","5","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","175","1","7","44","148","20","3","19","3","1","0","1","0","0","0","0","0","2","0","0","2","","","","","",""
"多摩小平","82","1","3","54","95","5","6","27","5","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1608","25","49","436","1725","89","76","266","50","5","6","6","2","0","14","0","0","7","1","1","6","","","","","",""


"定点報告疾患 週報告分 保健所別"
"東京都"
"集計期間開始週","2018年51週"
"集計期間終了週","2018年51週"
"性別","男女合計"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","36","0","1","8","16","0","0","5","0","0","0","0","1","0","0","0","0","0","0","0","1","4","3","0","2","2","0"
"中央区","26","0","5","9","98","5","10","15","1","1","0","0","0","0","1","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","62","0","4","29","67","2","5","11","2","0","1","0","0","0","0","0","0","1","1","0","0","9","6","0","1","1","0"
"新宿区","61","5","0","19","63","2","1","4","2","0","0","0","1","0","0","0","0","0","0","0","1","12","8","1","2","2","0"
