"定点報告疾患 週報告分 年齢別集計表"
"東京都"
"集計期間開始週","2023年36週"
"集計期間終了週","2023年36週"
"性別","男性"

"*急性呼吸器感染症（ARI）の「～5ヶ月」は「0歳」、「1歳」は「1～4歳」、「5歳」は「5～9歳」と読み替えてください。"
"*小児科定点把握対象疾患のうち「20-29歳」は「20歳以上」と読み替えてください。"
"*眼科疾患のうち、「70-79歳」は「70歳以上」と読み替えてください。"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"～5ヶ月","2","25","4","2","0","4","1","1","0","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"～1歳","6","44","9","7","0","30","0","11","0","5","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","30","69","11","23","6","94","1","46","0","24","18","0","4","0","0","2","0","0","0","0","0","1","0","0","1","1","0","0","1"
"2歳","30","59","3","23","11","59","0","40","1","5","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","45","60","2","30","23","50","0","36","0","1","16","0","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1"
"4歳","67","60","1","30","37","47","1","24","0","1","15","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","82","65","0","22","42","42","0","8","0","2","5","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"6歳","83","62","2","18","35","25","2","11","1","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","127","99","0","7","24","32","3","0","0","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","102","111","0","2","26","16","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
