"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2022年37週"
"集計期間終了週","2022年37週"
"性別","男性"

"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","21","0","1","31","0","50","0","2","15","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","3","14","2","1","38","1","24","0","3","17","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","29","3","2","25","0","32","0","0","7","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西部","0","19","0","1","41","0","42","1","2","7","1","1","1","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","0","35","0","4","39","0","111","1","4","22","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","0","50","0","1","22","0","40","0","4","14","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","2","10","0","0","32","0","49","0","3","12","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","2","0","0","1","1","17","3","0","4","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","30","0","2","56","1","122","0","4","28","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","10","0","0","9","4","36","1","0","10","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","18","0","0","16","3","43","0","4","12","2","2","1","0","2","1","0","0","0","0","0","","","","","",""
"北多摩北部","0","37","4","4","28","0","72","0","6","20","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","5","275","9","16","338","10","643","6","32","169","6","4","2","0","4","1","0","0","0","0","0","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2022年37週"
"集計期間終了週","2022年37週"
"性別","女性"

