"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2024年6月"
"集計期間終了月","2024年6月"
"性別","男性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","2","1","3","3","0","0","2","0","0","",""
"中央区","2","2","1","0","0","0","0","0","0","",""
"みなと","9","4","13","1","0","0","2","0","0","",""
"新宿区","14","2","2","8","0","0","9","0","0","",""
"文京","3","1","1","1","0","0","2","0","0","",""
"台東","0","0","1","0","0","0","0","0","0","",""
"墨田区","3","0","0","1","0","0","2","0","0","",""
"江東区","4","2","3","6","0","0","0","0","0","",""
"品川区","39","5","2","21","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","1","0","0","0","0","0","3","0","0","",""
"世田谷","0","0","0","0","0","0","3","1","0","",""
"渋谷区","9","2","2","3","0","0","4","0","0","",""
"中野区","12","0","1","5","0","0","0","0","0","",""
"杉並","2","0","0","1","0","0","1","0","0","",""
"池袋","3","3","3","4","0","0","1","0","0","",""
"北区","1","0","0","1","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","0","0","2","0","0","0","8","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","1","0","1","0","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","1","0","0","",""
"江戸川","8","1","0","5","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","3","2","0","",""
"多摩小平","0","0","0","0","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","113","23","35","60","0","0","43","3","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2024年6月"
"集計期間終了月","2024年6月"
"性別","女性"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","0","0","0","0","0","0","0","0","0","",""
"中央区","3","1","0","0","0","0","0","0","0","",""
"みなと","0","0","0","0","1","0","0","0","0","",""
"新宿区","5","2","0","1","0","0","3","0","0","",""
"文京","0","0","0","0","0","0","0","0","0","",""
"台東","5","0","2","10","1","0","0","0","0","",""
"墨田区","1","0","2","1","0","0","3","0","0","",""
"江東区","0","1","0","0","0","0","0","0","0","",""
"品川区","20","1","7","7","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","0","0","0","0","0","0","1","0","0","",""
"世田谷","0","0","0","0","0","0","5","0","0","",""
"渋谷区","5","3","2","0","0","0","0","0","0","",""
"中野区","0","0","0","0","0","0","0","0","0","",""
"杉並","0","0","0","0","0","0","2","0","0","",""
"池袋","3","2","0","0","0","0","0","0","0","",""
"北区","0","0","0","0","0","0","0","0","0","",""
"荒川区","2","0","0","0","0","0","0","0","0","",""
"板橋区","5","0","0","0","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","5","1","1","2","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","0","1","0","",""
"江戸川","19","0","2","2","1","0","0","0","0","",""
"八王子市","3","0","0","0","1","0","0","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","7","0","1","0","1","0","0","0","0","",""
"多摩府中","3","0","0","0","0","0","0","0","0","",""
"多摩小平","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","86","11","17","23","5","0","15","1","0","",""


"定点報告疾患 月報告分 保健所別"
"東京都"
"集計期間開始月","2024年6月"
"集計期間終了月","2024年6月"
"性別","男女合計"

"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","2","1","3","3","0","0","2","0","0","2","2"
"中央区","5","3","1","0","0","0","0","0","0","3","0"
"みなと","9","4","13","1","1","0","2","0","0","2","1"
"新宿区","19","4","2","9","0","0","12","0","0","7","2"
"文京","3","1","1","1","0","0","2","0","0","1","1"
"台東","5","0","3","10","1","0","0","0","0","2","0"
"墨田区","4","0","2","2","0","0","5","0","0","2","1"
"江東区","4","3","3","6","0","0","0","0","0","2","0"
"品川区","59","6","9","28","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","1","0","0","0","0","0","4","0","0","2","1"
"世田谷","0","0","0","0","0","0","8","1","0","0","2"
"渋谷区","14","5","4","3","0","0","4","0","0","5","1"
"中野区","12","0","1","5","0","0","0","0","0","2","0"
"杉並","2","0","0","1","0","0","3","0","0","2","2"
"池袋","6","5","3","4","0","0","1","0","0","3","1"
"北区","1","0","0","1","0","0","0","0","0","1","0"
"荒川区","2","0","0","0","0","0","0","0","0","1","0"
"板橋区","5","0","2","0","0","0","8","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","6","1","2","2","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","1","1","0","0","1"
"江戸川","27","1","2","7","1","0","0","0","0","2","0"
"八王子市","3","0","0","0","1","0","0","0","0","4","1"
"町田市","0","0","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","7","0","1","0","1","0","0","0","0","2","1"
"多摩府中","3","0","0","0","0","0","3","2","0","3","3"
"多摩小平","0","0","0","0","0","0","3","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","199","34","52","83","5","0","58","4","0","55","25"


