"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2012年43週
"集計期間終了週",2012年43週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","6","10","16","415"
"RSウイルス感染症","139","115","254","261"
"咽頭結膜熱","47","35","82","261"
"Ａ群溶血性レンサ球菌咽頭炎","178","164","342","261"
"感染性胃腸炎","652","592","1244","261"
"水痘","81","99","180","261"
"手足口病","58","45","103","261"
"伝染性紅斑","6","6","12","261"
"突発性発しん","89","75","164","261"
"百日咳","0","9","9","261"
"ヘルパンギーナ","37","21","58","261"
"流行性耳下腺炎","27","32","59","261"
"不明発しん症","15","9","24","261"
"川崎病","1","1","2","261"
"急性出血性結膜炎","1","0","1","38"
"流行性角結膜炎","6","8","14","38"
"細菌性髄膜炎","1","2","3","25"
"無菌性髄膜炎","2","0","2","25"
"マイコプラズマ肺炎","16","20","36","25"
"クラミジア肺炎(オウム病は除く)","0","1","1","25"
"インフルエンザ入院","0","0","0","25"
