"定点報告疾患 週報告分 男女別集計表"
"東京都"
"集計期間開始週",2005年7週
"集計期間終了週",2005年7週

"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","3785","3928","7713","178"
"RSウイルス感染症","2","3","5","142"
"咽頭結膜熱","10","13","23","142"
"Ａ群溶血性レンサ球菌咽頭炎","49","49","98","142"
"感染性胃腸炎","509","504","1013","142"
"水痘","88","71","159","142"
"手足口病","9","11","20","142"
"伝染性紅斑","9","15","24","142"
"突発性発しん","29","32","61","142"
"百日咳","0","0","0","142"
"風しん","1","1","2","142"
"ヘルパンギーナ","1","2","3","142"
"麻しん（成人麻しん以外）","0","1","1","142"
"流行性耳下腺炎","64","45","109","142"
"不明発しん症","3","2","5","142"
"川崎病","0","0","0","142"
"急性出血性結膜炎","0","0","0","14"
"流行性角結膜炎","5","5","10","14"
"細菌性髄膜炎","0","1","1","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","0","2","2","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"成人麻しん","0","0","0","25"
